layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
,,,,,,b,147.0,0.3558827928347803
,,,,,,b,148.0,0.3321266772291524
,,,,,,b,149.0,0.3496766772382278
,,,,,,b,150.0,0.3512546692716909
,,,,,,b,151.0,0.3485351605504325
,,,,,,b,152.0,0.3371058815788403
,,,,,,b,153.0,0.4052316492390297
,,,,,,b,154.0,0.34306796468314
,,,,,,b,155.0,0.3696904381073009
,,,,,,b,156.0,0.297660312524342
,,,,,,b,157.0,0.3893548845562731
,,,,,,b,158.0,0.4284863636302187
,,,,,,b,159.0,0.3693327208289254
,,,,,,b,160.0,0.2681783919032643
,,,,,,b,161.0,0.4584083309399971
,,,,,,b,162.0,0.3168965151165359
,,,,,,b,163.0,0.3341242041847172
,,,,,,b,164.0,0.3467584284143084
,,,,,,b,165.0,0.3218270642487248
,,,,,,b,166.0,0.3302934639340042
,,,,,,b,167.0,0.3497896653588652
,,,,,,b,168.0,0.2759643582600466
,,,,,,b,169.0,0.3392734662092636
,,,,,,b,170.0,0.3190609157110655
,,,,,,b,171.0,0.3543358788600756
,,,,,,b,172.0,0.3031480329234979
,,,,,,b,173.0,0.339200402657152
,,,,,,b,174.0,0.3536099099084997
,,,,,,b,175.0,0.3293769638239521
,,,,,,b,176.0,0.3545128849357351
,,,,,,b,177.0,0.3365871370050408
,,,,,,b,178.0,0.3005986654852521
,,,,,,b,179.0,0.3591605733315446
,,,,,,b,180.0,0.3606906232838458
,,,,,,b,181.0,0.4186659100531278
,,,,,,b,182.0,0.3168953163626198
,,,,,,b,183.0,0.4096172457307308
,,,,,,b,184.0,0.3635592391897546
,,,,,,b,185.0,0.3552885481058392
,,,,,,b,186.0,0.4094134517760945
,,,,,,b,187.0,0.2778337787692719
,,,,,,b,188.0,0.3845951044277327
,,,,,,b,189.0,0.3922963507031367
,,,,,,b,190.0,0.3337705444169776
,,,,,,b,191.0,0.3715488360807097
,,,,,,b,192.0,0.3660517129150715
,,,,,,b,193.0,0.369628173329303
,,,,,,b,194.0,0.3501274961025649
,,,,,,b,195.0,0.3488481540087962
,,,,,,b,196.0,0.4196321336098361
,,,,,,b,197.0,0.3235122737354032
,,,,,,b,198.0,0.3837299968220282
,,,,,,b,199.0,0.3119567281256343
,,,,,,b,200.0,0.3497226526601298
,,,,,,b,201.0,0.3518093392602996
,,,,,,b,202.0,0.3369550162230865
,,,,,,b,203.0,0.3372923482174892
,,,,,,b,204.0,0.3918484599647507
,,,,,,b,205.0,0.331294166229235
,,,,,,b,206.0,0.361414196411133
,,,,,,b,207.0,0.3007298655951103
,,,,,,b,208.0,0.3134419203116962
,,,,,,b,209.0,0.3269509398370185
,,,,,,b,210.0,0.3100718374400726
,,,,,,b,211.0,0.3037427110582626
,,,,,,b,212.0,0.3587771326759155
,,,,,,b,213.0,0.4379872690626758
,,,,,,b,214.0,0.3308154113425061
,,,,,,b,215.0,0.3455020361343339
,,,,,,b,216.0,0.3664722126292723
,,,,,,b,217.0,0.2576450550535965
,,,,,,b,218.0,0.3329876486659064
,,,,,,b,219.0,0.3715755628583865
,,,,,,b,220.0,0.3692632123135779
,,,,,,b,221.0,0.373700326351384
,,,,,,b,222.0,0.3606628182057863
,,,,,,b,223.0,0.2833086678399876
,,,,,,b,224.0,0.3452106375913129
,,,,,,b,225.0,0.3146159466530607
,,,,,,b,226.0,0.3035962341451896
,,,,,,b,227.0,0.3618740541830343
,,,,,,b,228.0,0.4530520631854737
,,,,,,b,229.0,0.3847278852222739
,,,,,,b,230.0,0.3493485677776089
,,,,,,b,231.0,0.4266904937183224
,,,,,,b,232.0,0.357212705523259
,,,,,,b,233.0,0.3797596113598489
,,,,,,b,234.0,0.3275751148402928
,,,,,,b,235.0,0.2898356756064184
,,,,,,b,236.0,0.2900773309986046
,,,,,,b,237.0,0.3966325482145603
,,,,,,b,238.0,0.3452519925883988
,,,,,,b,239.0,0.3859389355196518
,,,,,,b,240.0,0.3511029974453161
,,,,,,b,241.0,0.2942155470304399
,,,,,,b,242.0,0.3443798656653976
,,,,,,b,243.0,0.3322846000482808
,,,,,,b,244.0,0.3135219635318056
,,,,,,b,245.0,0.3709047253313904
,,,,,,b,246.0,0.3383627338897783
,,,,,,b,247.0,0.3809370791564923
,,,,,,b,248.0,0.3017440189537725
,,,,,,b,249.0,0.3196190404251595
,,,,,,b,250.0,0.3269331302928049
,,,,,,b,251.0,0.3842357143907873
,,,,,,b,252.0,0.3544577101831332
,,,,,,b,253.0,0.3336656845956454
,,,,,,b,254.0,0.3605649550971836
,,,,,,b,255.0,0.3619600577961006
,,,,,,b,256.0,0.3322983626306475
,,,,,,b,257.0,0.3671530118888175
,,,,,,b,258.0,0.3942750694088044
,,,,,,b,259.0,0.3556483822158234
,,,,,,b,260.0,0.3965561540747195
,,,,,,b,261.0,0.3821624166448361
,,,,,,b,262.0,0.3296611977741563
,,,,,,b,263.0,0.3362701662098679
,,,,,,b,264.0,0.2634639765099402
,,,,,,b,265.0,0.3101416504919632
,,,,,,b,266.0,0.3498943344276699
,,,,,,b,267.0,0.3432633564434755
,,,,,,b,268.0,0.4026061083823302
,,,,,,b,269.0,0.3660396674671364
,,,,,,b,270.0,0.3396915378040672
,,,,,,b,271.0,0.4137241819641462
,,,,,,b,272.0,0.3658945462471261
,,,,,,b,273.0,0.3344189185059911
,,,,,,b,274.0,0.2655905490861379
,,,,,,b,275.0,0.4308579962706695
,,,,,,b,276.0,0.4246045643753762
,,,,,,b,277.0,0.340005229385941
,,,,,,b,278.0,0.3300625848811531
,,,,,,b,279.0,0.3403667234723797
,,,,,,b,280.0,0.399554220891253
,,,,,,b,281.0,0.3544752360482066
,,,,,,b,282.0,0.3574620501471446
,,,,,,b,283.0,0.2917394566686782
,,,,,,b,284.0,0.4022439463818674
,,,,,,b,285.0,0.3325758444281983
,,,,,,b,286.0,0.365132865540331
,,,,,,b,287.0,0.3194859230821123
,,,,,,b,288.0,0.3380505183535272
,,,,,,b,289.0,0.3137092195411255
,,,,,,b,290.0,0.3577148845817621
,,,,,,b,291.0,0.3704203065531475
,,,,,,b,292.0,0.4108931818894428
,,,,,,b,293.0,0.3403183357946404
,,,,,,b,294.0,0.3978995565098322
,,,,,,b,295.0,0.3587262111787148
,,,,,,b,296.0,0.3246567311337225
,,,,,,b,297.0,0.4025882965163663
,,,,,,b,298.0,0.3453617610519925
,,,,,,b,299.0,0.3239687409852152
,,,,,,b,300.0,0.3928578045600428
,,,,,,b,301.0,0.3570939375884383
,,,,,,b,302.0,0.3337055543111757
,,,,,,b,303.0,0.3613032585394804
,,,,,,b,304.0,0.3699708445522116
,,,,,,b,305.0,0.3193705931226258
,,,,,,b,306.0,0.3441236280192989
,,,,,,b,307.0,0.3390300092391012
,,,,,,b,308.0,0.310112261333165
,,,,,,b,309.0,0.3038460307622292
,,,,,,b,310.0,0.3622813419328263
,,,,,,b,311.0,0.4200273761634063
,,,,,,b,312.0,0.3695578613628427
,,,,,,b,313.0,0.3543911765234098
,,,,,,b,314.0,0.3884185141516969
,,,,,,b,315.0,0.424887086922681
,,,,,,b,316.0,0.3330842749546958
,,,,,,b,317.0,0.3560730879757039
,,,,,,b,318.0,0.3724450687120795
,,,,,,b,319.0,0.4146192721926973
,,,,,,b,320.0,0.3677242786950785
,,,,,,b,321.0,0.3993597143439751
,,,,,,b,322.0,0.4371804831838659
,,,,,,b,323.0,0.3655623651141062
,,,,,,b,324.0,0.3700103155585572
,,,,,,b,325.0,0.3730005853417486
