space_id,source_cluster_id,source_cluster_basis,source_file_digests,source_cluster_size,source_cluster_weight
Arjun021/AI_Study_Assistant,aa1fe329cc828c71e2a532552c4bdb49f0324880b372b3d73aa3e1711451d145,exact_multifile_bundle,2,7,0.14285714285714285
Arjunrathod01/StudyAssistant,unique:Arjunrathod01/StudyAssistant,insufficient_files_for_clustering,1,1,1.0
Arko3910/Study_Assistant,e2ceb836395964e1f86c809b66ae1b3767b800143d1e162f099ab3c972047959,exact_multifile_bundle,3,1,1.0
Armour-12/Quiz-Generator,10d5873b8e2ebb7dc4c853f845af3558226abcf8bfb65538e7127846a781b17a,exact_multifile_bundle,2,1,1.0
Armour-12/Quiz-generator-t5base,421573729d41333babd66cb463e3644f2f06fc4e5f7dd8dd50106d2862bed388,exact_multifile_bundle,2,1,1.0
Armour-12/Quiz_Generator,230d776a718f58c97f6e922105f9e25614240aa37087e5b24deb04ac21c6ac3e,exact_multifile_bundle,2,2,0.5
Artykun/Ai-Quiz-Generator,897404aa1c9c456a844cfca67f29f248342433d5c135cac10f0b3f48854162ce,exact_multifile_bundle,6,1,1.0
Ashwand5/AI_Educational_Assistant,f1b4505ff823ede4c3652739d561001f4e223173d21901e0935cc2b26ea15880,exact_multifile_bundle,2,1,1.0
Asif1karim/Study_Assistant,6bffbd1678f428a8436c0350d028d9784da8f46de913658ed9417f28bd16cf48,exact_multifile_bundle,5,1,1.0
Axiosingular/ai-tutor,a3a797f5bca71ec56af36d24f4a3ea6aef4283170c2372a96621e639d6a3edd8,exact_multifile_bundle,2,1,1.0
AyeshaMasood/quiz-generator,e95ccd345bf40bcf3b6e68dc311c423785bdc27238eb6d74d10effe110d45de9,exact_multifile_bundle,2,1,1.0
BRH-Burhanudin/kimia-ai-tutor,2dbde54568bfc591c85d06876410454ea98d53aa5a5837bb1d2379d81c5cc8a9,exact_multifile_bundle,6,1,1.0
BUNNY95R/AI_study_assistant,e8ed849637407060c261f7f520bd9ab77fe57c62feb1adec21d06c83ce6f8d8e,exact_multifile_bundle,2,1,1.0
BadaPoojitha/StudyAssistant,92c7e4b2351df87dfa1f06d547d5432de92c79b28559513cc09cb9201cfca92b,exact_multifile_bundle,2,1,1.0
Bahauddin01/language-tutor-ai,5a92e0550fd125d2e77feeb4e49069417ade656859a0e224b3049b7098016ac9,exact_multifile_bundle,2,1,1.0
Belliar666/english-tutor-chatbot,4ed323b1804ff4ab2ba88a42148ca272ac1741f2c937001a0401ba7c8f1bca55,exact_multifile_bundle,2,1,1.0
Betao2000/questmaster-pro-the-ultimate-quiz-generator,unique:Betao2000/questmaster-pro-the-ultimate-quiz-generator,insufficient_files_for_clustering,1,1,1.0
Bharath8940/edugenius-ai-smart-learning-companion,f8c63b821f3a55d067cf111e948749ddc8478ee85404a5575a1b71c6b4db3cbc,exact_multifile_bundle,7,1,1.0
Bhargavi-31/Ai_tutor,4baab36edf6acf853d945e7f487b93ef6d9ad0f13516b7077e6a550733bc1635,exact_multifile_bundle,2,1,1.0
Bhuvana908/StudyAssistant,ea3ed5e5cd19d9c1083b5f38ac565271876c5d8ecace64518684b09bbbfaa4f4,exact_multifile_bundle,2,1,1.0
Boyston/reachy_mini_language_tutor,fd410f9c1dc84c5a140fcf930c3150593f616194030d550011a853b072caa431,exact_multifile_bundle,8,2,0.5
Brisha124/AI_TUTOR,17073ab15f1c4c311640d794dfa2bde6ce34f372d019f59fbbd94285d03fbb5f,exact_multifile_bundle,2,1,1.0
CT-AITUTOR/AITUTOR,558e3f727654035fe8e975f207d247de6ff82bf076754c001e96a625efa5f2a5,exact_multifile_bundle,2,1,1.0
ChandiniSiri/AI_TUTOR,92df5ab5a72bd3c0c0da3f43be34bc49e951dcb6e58ccf7aa43f6fd29c8dc025,exact_multifile_bundle,2,1,1.0
Charan-27-10/AI_TUTOR,aa207bdec9413ba28a77c08430f5e530ecd55f7b6aeec3172f3911a7aca0b80b,exact_multifile_bundle,2,1,1.0
Chidvilash3/socratic-tutor,7d07113784c6ca5e0deddfaf4c9d495e445a51353180af5947678f79b387b020,exact_multifile_bundle,2,1,1.0
Clautonx/studymaster-pro-ai-learning-companion,d7950da48f4e5e78d32a9cf6ff17d4ff51deac4b7e73c1cbcad47b25dd9f6ab7,exact_multifile_bundle,4,1,1.0
CodeDiva42/study-assistant,b727325c739c592a1672968b52068e2a72a480dfc408ab43cebb0f2c393fe35a,exact_multifile_bundle,3,2,0.5
Cyfer-ap/AI-Coding-Tutor,4a2fa8a1ef5f4aa161009b6d4bee886946ad7f28d0c4d8ab7cb2fda3e9eaebb9,exact_multifile_bundle,9,1,1.0
DakshSadotra/my-study-assistant,b11211e99864baca687872eaed1bd5fceb0db8b72b6047bdb3f49e597720ac4f,exact_multifile_bundle,2,1,1.0
Danny2311/Quiz-Generator,5ecdad4de2246986813dd83c7bcee164bf6c22bba2d75708642c625eae86cc9d,exact_multifile_bundle,2,1,1.0
DataRebels/chatbot_language_tutor,9b15e024855e8a956e71299ddf2ffa6e5cd0c5725395acba9b36480ef44ff937,exact_multifile_bundle,6,1,1.0
DataWizard9742/LessonPlanGenerator,237dd56f5720728b2303d35f687499922718142c9d5fd56ac62596a940b192bf,exact_multifile_bundle,2,1,1.0
DeepLearningAI/quiz-generator-v3,3098ee4fcf0d565347f5634f58d8a93ca2fbbf7e50df677dadf44de622dea30d,exact_multifile_bundle,9,1,1.0
Dexter1928/studymate-pro-ai-learning-companion,unique:Dexter1928/studymate-pro-ai-learning-companion,insufficient_files_for_clustering,1,1,1.0
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,68d035710a94844589574c7476190066cca8c32c99a605d8ffe1c82875c74173,exact_multifile_bundle,3,1,1.0
Diid12rt/AITUTOR,9997f0fafaca4b1690afe399cb90d0405f037a82540175ede052da535afb1401,exact_multifile_bundle,5,1,1.0
DipakBundheliya/flask_ai_tutor,a3d253ae49ea8f4f2b55fe75a7e0647494cab31a75cbfa2b95e8a6391865cf76,exact_multifile_bundle,3,1,1.0
DoctorHolly/BIO_Tutor_Chatbot,c603ee74539597deef644bf207306c93f1d54b51b60139700de57782cb642248,exact_multifile_bundle,3,1,1.0
DroolingPanda/teachingAssistant,4c985a931a3925dbe43a887ea59cb5a350ad5e223c8e7f044155329073d5bbde,exact_multifile_bundle,3,1,1.0
Ehtisham-84/Study-Assistant,unique:Ehtisham-84/Study-Assistant,insufficient_files_for_clustering,1,1,1.0
Esco11/lingualoom-free-voice-language-tutor,69ae8d550fbc79b33d1319314fb3c3d2baf494fb8b12f827e7876732f48b25f5,exact_multifile_bundle,6,1,1.0
Etalre/edugenius-ai-smart-learning-companion,b1612ad302a2f6196361f90bbeef2fb9a331bcfd956d7fc1cdf333065f4fb888,exact_multifile_bundle,8,1,1.0
Faiz3399/Ai-tutor-assistant,a7bc6edcebc242b3616ac8ef25eeab13f7e074c436f9d0bfd7ddaa019f8cea06,exact_multifile_bundle,3,1,1.0
Fatma033/Educational-Chatbot,4d70dfe6d12dd0bb0b80068770e12f88dd710d8365cb51dea5d6c5382d4e2c05,exact_multifile_bundle,2,1,1.0
Felrose/trisem-lesson-plan-generator,c22ea58bd0cbae9c58b509b57ef02dbc586223af7c1f40e69c8a856d0b8c61bf,exact_multifile_bundle,2,2,0.5
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,c22ea58bd0cbae9c58b509b57ef02dbc586223af7c1f40e69c8a856d0b8c61bf,exact_multifile_bundle,2,2,0.5
Forsaken2508/studysensei-ai-powered-learning-companion,1c94e8dac4f26d477d35b09012024ab3e7e5df60502165f27182d246cd26565e,exact_multifile_bundle,2,1,1.0
Fuckyoumotherfucker/cs-ai-tutor,unique:Fuckyoumotherfucker/cs-ai-tutor,insufficient_files_for_clustering,1,1,1.0
Gimgaru/finalproject_aitutor,66e34d788cfa00a07c9be907b1881b5ac3401c90027c6acf5491f007d7b8bcbf,exact_multifile_bundle,2,1,1.0
GoIpKrIsHnA/studyAssistantAI,c0dc61fcf8aa8ffc03a1c39be249ab64bb669edce2a896daa3b90bb41eb678c6,exact_multifile_bundle,2,1,1.0
Gungz/quiz-generator-baidu-ernie,aeae0811861361dcd84bed9f53fa12223d0c90f9e2960254d4237b9a3d2a98f6,exact_multifile_bundle,2,1,1.0
Hafeezaqsa01/Quiz_generator,34fc20a029235ea4850fb67e859c8e84c1c74f29b8f4a1280596b014fc3418ab,exact_multifile_bundle,2,1,1.0
Hafsah-Fatima/Programming_Tutor_Chatbot,c6ef298c9c7ed4f92812d40f1e883feb438b68f9448d981d49e61cac9ec22e86,exact_multifile_bundle,2,1,1.0
Hafsah-Fatima/Programming_Tutor_Chatbot_0.2,39356b468164bf48e66ae442555c62dd2cf45c536ab8f214333853a3075ada3c,exact_multifile_bundle,2,1,1.0
Hamsi-1234/lesson-plan-generator,unique:Hamsi-1234/lesson-plan-generator,insufficient_files_for_clustering,1,1,1.0
Hamsini11/ai-agents-intensive-tutor,aa1fe329cc828c71e2a532552c4bdb49f0324880b372b3d73aa3e1711451d145,exact_multifile_bundle,2,7,0.14285714285714285
Hamzajutt17/AI-Study-Assistant,unique:Hamzajutt17/AI-Study-Assistant,insufficient_files_for_clustering,1,1,1.0
Hardik2704/Teaching_Assistant,62ea7864a68fddc346527cc68f2bbba913c10450e54a7cf41f7cfa0b3319223d,exact_multifile_bundle,2,1,1.0
Hareesh221/30-day-course-generator,4f805dd1f68f188f3a180f92e0572ac5aee5789240daa28a64210a121379d0f3,exact_multifile_bundle,2,1,1.0
Harika06/AI_TUTOR,c988100a011274ab9499d06c2ddfe829e0d3eb595073cf81b134d95f2b0b853c,exact_multifile_bundle,2,3,0.3333333333333333
Hariprasaadh/QuizGenerator,2b08b90bf8b8c83228368bfde63a8f57b47c10cd506af659d612e934ca56bb14,exact_multifile_bundle,2,1,1.0
HarryPotter1o1/Study_Assistant,514704851ac37f483b66b69a7b4aaa9a075ff2f734a18495efce6b078679caf2,exact_multifile_bundle,2,1,1.0
Harsha855/StudyAssistant,e59b9fd59c303d59ca0cab9249724ed3c4501df3999883df30984fbda1d935bd,exact_multifile_bundle,2,1,1.0
HemanthRaj/Socratic-AI-Tutor-Model,31391e766845077a67b474211bc36ccb9a184be05999d4a1fa2be6849ecdddd4,exact_multifile_bundle,2,1,1.0
HemanthRaj/socratic-tutor-embedder,63bfc1532f4712bb5421b12f797a0e8469191d8e9a13784915985776353dcfe9,exact_multifile_bundle,2,1,1.0
Hrishitha12/my_study_assistant,unique:Hrishitha12/my_study_assistant,insufficient_files_for_clustering,1,1,1.0
HugoMann/hdh-delfin-smart-learning-companion,unique:HugoMann/hdh-delfin-smart-learning-companion,insufficient_files_for_clustering,1,1,1.0
HumeraAI/lesson-plan-generator,208175a4f5a78cc2307aa4eb5f7a0e67cd40fa1eb263fb18c4e2364a93b03753,exact_multifile_bundle,2,2,0.5
HumeraAI/quiz-generator-from-PDF,0874d10f7b9ffbe3af5fe313246c839a97bc123b9e8e806cebd2ed175a6f80a9,exact_multifile_bundle,2,1,1.0
IgaCh/edubot-smart-learning-companions,unique:IgaCh/edubot-smart-learning-companions,insufficient_files_for_clustering,1,1,1.0
Imsachinsingh00/education_chatbot,1aa6f9321fbe2ba2bf09e4f878acf9456b3cb4b00b01f7d2352db768236afd2b,exact_multifile_bundle,2,1,1.0
JPPD/Tutor-fisica-abp-chatbot,96e2657ee3cefd0851974b001473c2e8c0f4c1f74dda2a1322347c032cfa3c39,exact_multifile_bundle,2,1,1.0
Jainish210705/Quiz_Generator,fd1ef7343af4dadc55e9ce0e03f2a90410bb2a04cf46bc37c49f1ede66685a02,exact_multifile_bundle,2,1,1.0
Jamest332/studyforza-ai-powered-study-assistant,unique:Jamest332/studyforza-ai-powered-study-assistant,insufficient_files_for_clustering,1,1,1.0
Janakimeena/RAG-Base-Educational-Chatbot,f63abbf6ea6e1f466c79fadb4274a188d9fe22e0a5105c42d53d1821dd1fb41e,exact_multifile_bundle,5,1,1.0
Jangasathwika/ai.tutor,df53efa9a5551b7263f7e60cca715a16b007bbad5f04f3c257b866b7e8024364,exact_multifile_bundle,5,2,0.5
Jangasathwika/ai_tutor,aa1fe329cc828c71e2a532552c4bdb49f0324880b372b3d73aa3e1711451d145,exact_multifile_bundle,2,7,0.14285714285714285
Jangasathwika/aitutor,bd3c395432eafe35921c75e398679d907f8cde24bf17400c2a59d7d48bb329b5,exact_multifile_bundle,5,1,1.0
