space_id,revision_role,revision,revision_date,provider,layer,evidence_type,evidence_value,source_file,confidence
doudoug1/educational-chatbot,earliest_analyzable,2f221dc98ff4a53dfb220bc512703ed34f43ef14,2025-02-27T18:40:13.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
DroolingPanda/teachingAssistant,earliest_analyzable,cd1309db363a599274b6b2d6f3c05cbe667c8804,2025-01-25T22:40:12.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,utils/stt.py,high
DroolingPanda/teachingAssistant,earliest_analyzable,cd1309db363a599274b6b2d6f3c05cbe667c8804,2025-01-25T22:40:12.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,utils/translation.py,high
DroolingPanda/teachingAssistant,earliest_analyzable,cd1309db363a599274b6b2d6f3c05cbe667c8804,2025-01-25T22:40:12.000Z,User-managed runtime,local_runtime,package,transformers,pyproject.toml,high
echarif/education_chatbot,earliest_analyzable,3846fcf92e48d1fedf0543819175ab7fc71d44e6,2025-05-23T14:00:05.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
educationAI/education-ai-study-assistant,earliest_analyzable,fe0f1d81d7b5add5f70580ff2fdf9e65122474ba,2025-09-03T12:55:52.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Ehtisham-84/Study-Assistant,earliest_analyzable,ce30aa809ec2d064f4bb032648b32cafab8e78f1,2025-11-22T17:09:37.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
ekantabanik/Tutor_Ai,earliest_analyzable,324b6dbbbfe00c393de768abf4d3b49a0be41ecb,2026-07-21T10:35:15.000Z,Groq,inference_service,code_signature,groq_sdk,agents/agents.py,high
ekerin/german-tutor-chatbot,earliest_analyzable,bfbc55f0fc12e3a73e60d9a6fd2ca79c74dfa01b,2025-09-02T13:46:24.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
ekerin/german-tutor-chatbot-v2,earliest_analyzable,7eb42fa4c1d9f8355498d629f31c7b01c33d588f,2025-09-02T14:30:33.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
ekerin/german-tutor-chatbot-v2,earliest_analyzable,7eb42fa4c1d9f8355498d629f31c7b01c33d588f,2025-09-02T14:30:33.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
elsi29/Quiz-Generator-TextPy,earliest_analyzable,6225483595ae4232e128798450fe9784e1682db5,2026-06-28T14:47:54.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
emanramadan/Tutor_Chatbot,earliest_analyzable,3f7f6ec42746e010e87be1c5277a01d3005b2fc9,2024-12-15T18:17:44.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
emanramadan/Tutor_Chatbot_,earliest_analyzable,3f7f6ec42746e010e87be1c5277a01d3005b2fc9,2024-12-15T18:17:44.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
emashahzad/StudyAssistant,earliest_analyzable,2d0083507ed9a782e73a3d5685bba8f2381109b3,2026-02-12T08:33:49.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
emashahzad/StudyAssistant,earliest_analyzable,2d0083507ed9a782e73a3d5685bba8f2381109b3,2026-02-12T08:33:49.000Z,Groq,inference_service,package,groq,requirements.txt,high
engrsalman/Educational-AI-Chatbot,earliest_analyzable,4e85d4a07ff7c7168b3f9c48d3e4e09c88aabac0,2024-11-20T09:49:37.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
eoinmcg/ai_tutor,earliest_analyzable,869b0569cba57f5fddb2cb60c1bc8cdea93d411e,2025-02-18T07:51:35.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
fabeha-raheel/ai_study_assistant,earliest_analyzable,ff4c42ffbabe8bc3a55fa7a91fb408f4825ce748,2025-11-14T15:38:30.000Z,Groq,inference_service,package,groq,requirements.txt,high
fahadsiddiqui337/AI-education-chatbot,earliest_analyzable,ab7b5e1c992c8244fcbc911f2decdd344f4fc74a,2025-02-24T09:47:19.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
fahadsiddiqui337/AI-education-chatbot,earliest_analyzable,ab7b5e1c992c8244fcbc911f2decdd344f4fc74a,2025-02-24T09:47:19.000Z,Google,inference_service,package,langchain-google-genai,requirements.txt,high
Faiz3399/Ai-tutor-assistant,earliest_analyzable,77e0b26dc87f401e47fae6088a2856dc82e49082,2025-02-23T15:38:43.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Fatma033/Educational-Chatbot,earliest_analyzable,ca6e904e6388d5387ca5a23ea249b647dda970a9,2025-10-14T21:35:52.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
fatymah12/AI_Quiz_Generator,earliest_analyzable,865e0b080af8d0e792dd8ba73d114d430714a16c,2026-04-10T10:53:39.000Z,Groq,inference_service,package,groq,requirements.txt,high
Felrose/trisem-lesson-plan-generator,earliest_analyzable,2d3d4162a059401d21ec438fb84f6d55c69060df,2026-05-10T04:43:53.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,earliest_analyzable,2d3d4162a059401d21ec438fb84f6d55c69060df,2026-05-10T04:43:53.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
firobeid/AI_Tutor,earliest_analyzable,593d600ff767f4b4352452325265d016b3eb5b2f,2025-02-12T02:14:48.000Z,Groq,inference_service,package,groq,requirements .txt,high
fizailyas783/smart-study-assistant,earliest_analyzable,2526e3416d61b885e2efffde6bbbce4028fa8b3f,2026-04-23T07:53:19.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
