space_id,provider,layer,evidence_type,evidence_value,source_file,confidence,model_family,upstream_license,provider_basis
echarif/education_chatbot,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
echarif/education_chatbot,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
echarif/education_chatbot,Meta,model_dependency,hf_linked_model,echarif/lora_adapter_llama3.2_1B,hub_metadata,high,Llama,other,base_model_namespace
echarif/education_chatbot,Meta,model_dependency,hf_linked_model,meta-llama/Llama-3.2-1B-Instruct,hub_metadata,high,Llama,llama3.2,model_namespace
educationAI/education-ai-study-assistant,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
educationAI/education-ai-study-assistant,OpenAI,model_dependency,hf_linked_model,openai/gpt-oss-20b,hub_metadata,high,gpt,apache-2.0,model_namespace
Ehtisham-84/Study-Assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
ekantabanik/Tutor_Ai,Groq,inference_service,code_signature,groq_sdk,agents/agents.py,high,,not_applicable,code_signature
ekerin/german-tutor-chatbot,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
ekerin/german-tutor-chatbot,OpenAI,model_dependency,hf_linked_model,openai/gpt-oss-20b,hub_metadata,high,gpt,apache-2.0,model_namespace
ekerin/german-tutor-chatbot-v2,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
ekerin/german-tutor-chatbot-v2,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
ekerin/german-tutor-chatbot-v2,Mistral AI,model_dependency,hf_linked_model,mistralai/Mistral-7B-Instruct-v0.2,hub_metadata,high,Mistral/Mixtral,apache-2.0,model_namespace
ekerin/german-tutor-chatbot-v2,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
elsi29/Quiz-Generator-NLP,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
elsi29/Quiz-Generator-NLP,BAAI,model_dependency,hf_linked_model,BAAI/bge-m3,hub_metadata,high,bge,mit,model_namespace
elsi29/Quiz-Generator-NLP,Meta,model_dependency,hf_linked_model,meta-llama/Meta-Llama-3-8B-Instruct,hub_metadata,high,Llama,llama3,model_namespace
elsi29/Quiz-Generator-TextPy,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
elsi29/Quiz-Generator-TextPy,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
elsi29/Quiz-Generator-TextPy,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
emanramadan/Tutor_Chatbot,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
emanramadan/Tutor_Chatbot,Google,inference_service,code_signature,gemini_sdk,webapp.py,high,,not_applicable,code_signature
emanramadan/Tutor_Chatbot,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
emanramadan/Tutor_Chatbot,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
emanramadan/Tutor_Chatbot_,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
emanramadan/Tutor_Chatbot_,Google,inference_service,code_signature,gemini_sdk,webapp.py,high,,not_applicable,code_signature
emanramadan/Tutor_Chatbot_,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
emanramadan/Tutor_Chatbot_,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
emashahzad/StudyAssistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
emashahzad/StudyAssistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
engrsalman/Educational-AI-Chatbot,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
engrsalman/Educational-AI-Chatbot,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
eoinmcg/ai_tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
eoinmcg/ai_tutor,namespace:jaiganesan,model_dependency,code_model_id,jaiganesan/ai_tutor_knowledge_vector_Store,selected_source_files,medium,ai,missing,unmapped_public_namespace
fabeha-raheel/ai_study_assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
fabeha-raheel/ai_study_assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
fahadsiddiqui337/AI-education-chatbot,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
fahadsiddiqui337/AI-education-chatbot,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
Faiz3399/Ai-tutor-assistant,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
Faiz3399/Ai-tutor-assistant,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
Faiz3399/Ai-tutor-assistant,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
Fatma033/Educational-Chatbot,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
fatymah12/AI_Quiz_Generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
fatymah12/AI_Quiz_Generator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
Felrose/trisem-lesson-plan-generator,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Felrose/trisem-lesson-plan-generator,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
firobeid/AI_Tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
fizailyas783/smart-study-assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
fizailyas783/smart-study-assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
flexfitfury9/ai-educational-platform,Hugging Face,hub_sdk,package,huggingface-hub,requirements_hf.txt,high,,not_applicable,package
flexfitfury9/ai-educational-platform,OpenRouter,inference_service,code_signature,openrouter_endpoint,config.py,high,,not_applicable,code_signature
flexfitfury9/Ai_educational_platform,Hugging Face,hub_sdk,package,huggingface-hub,Advanced_Face_Recognition_Atttendence/requirements_hf.txt,high,,not_applicable,package
flexfitfury9/Ai_educational_platform,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
flexfitfury9/Ai_educational_platform,Hugging Face,hub_sdk,package,huggingface-hub,requirements_fixed.txt,high,,not_applicable,package
flexfitfury9/Ai_educational_platform,OpenRouter,inference_service,code_signature,openrouter_endpoint,app_huggingface.py,high,,not_applicable,code_signature
flexfitfury9/Ai_educational_platform,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
flexfitfury9/Ai_educational_platform,User-managed runtime,local_runtime,package,transformers,requirements_fixed.txt,high,,not_applicable,package
flexfitfury9/Ai_educational_platform,Meta,model_dependency,hf_linked_model,meta-llama/Llama-3.2-11B-Vision-Instruct,hub_metadata,high,Llama,llama3.2,model_namespace
forWard666/AL_TEACHING_ASSISTANT,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
forWard666/AL_TEACHING_ASSISTANT,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
forWard666/AL_TEACHING_ASSISTANT,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
forwebdevelopmentuse/quiz-ai-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
forwebdevelopmentuse/quiz-ai-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
forwebdevelopmentuse/quiz-ai-generator,Mistral AI,model_dependency,hf_linked_model,mistralai/Mistral-7B-Instruct-v0.2,hub_metadata,high,Mistral/Mixtral,apache-2.0,model_namespace
forwebdevelopmentuse/quiz-ai-generator,TII,model_dependency,hf_linked_model,tiiuae/falcon-7b-instruct,hub_metadata,high,Falcon,apache-2.0,model_namespace
gaurav9821/AI-language-Tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
gaurav9821/AI-language-Tutor,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
gaurav9821/AI-language-Tutor,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
geekaijosh/Agent_AI_Tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
Gimgaru/finalproject_aitutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
gneya/educational_chatbot,Cohere,inference_service,package,cohere,requirements.txt,high,,not_applicable,package
gneya/educational_chatbot,Groq,inference_service,code_signature,groq_sdk,utils.py,high,,not_applicable,code_signature
gobikrishna87/TechBytz-AI-Tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
gobikrishna87/TechBytz-AI-Tutor,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
gobikrishna87/TechBytz-AI-Tutor,namespace:openai-community,model_dependency,hf_linked_model,openai-community/gpt2,hub_metadata,high,gpt2,mit,unmapped_public_namespace
GoIpKrIsHnA/studyAssistantAI,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
GoIpKrIsHnA/studyAssistantAI,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
google/rad_learning_companion,User-managed runtime,local_runtime,package,transformers,backend/requirements.txt,high,,not_applicable,package
gopichand55k/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
gopichand55k/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
gouravbathla/Language_Tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
gouravbathla/Language_Tutor,OpenAI,inference_service,code_signature,openai_official,grammar_evaluator_agent.py,high,,not_applicable,code_signature
gouravbathla/Language_Tutor,OpenAI,inference_service,code_signature,openai_official,grammar_mcq_agent.py,high,,not_applicable,code_signature
gr3g0r-i/quiz-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
gr3g0r-i/quiz-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
gr3g0r-i/quiz-generator,EleutherAI,model_dependency,hf_linked_model,EleutherAI/gpt-neo-1.3B,hub_metadata,high,gpt,mit,model_namespace
gr3g0r-i/quiz-generator,namespace:distilbert,model_dependency,hf_linked_model,distilbert/distilgpt2,hub_metadata,high,distilgpt2,apache-2.0,unmapped_public_namespace
gr3g0r-i/quiz-generator,namespace:openai-community,model_dependency,hf_linked_model,openai-community/gpt2-large,hub_metadata,high,gpt2,mit,unmapped_public_namespace
gr3g0r-i/quiz-generator,namespace:openai-community,model_dependency,hf_linked_model,openai-community/gpt2-medium,hub_metadata,high,gpt2,mit,unmapped_public_namespace
guddolla/ai.tutor,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
guddolla/ai.tutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
guddolla/AI_TUTOR,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
guddolla/AI_TUTOR,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
habiba-elshrkawy/quiz-generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
habiba-elshrkawy/quiz-generator,Groq,inference_service,code_signature,groq_sdk,Quiz.py,high,,not_applicable,code_signature
hackmisty123/hack-misty-ai-tutor,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
Hafeezaqsa01/Quiz_generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
Hafsah-Fatima/Programming_Tutor_Chatbot,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
Hafsah-Fatima/Programming_Tutor_Chatbot_0.2,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
haiderijaz/mock-quiz-generator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
haiderijaz/mock-quiz-generator,Groq,inference_service,code_signature,groq_sdk,quiz_generator.py,high,,not_applicable,code_signature
Hardik2704/Teaching_Assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Hardik2704/Teaching_Assistant,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Hareesh221/30-day-course-generator,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Hareesh221/30-day-course-generator,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
harika-donthula/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
harika-donthula/my-study-assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Harika06/AI_TUTOR,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Harika06/AI_TUTOR,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
harikagajjala/AI_TUTOR,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Hariprasaadh/QuizGenerator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
HarryPotter1o1/Study_Assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
HarryPotter1o1/Study_Assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
harsha17v/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
harsha17v/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Harsha855/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Harsha855/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
harshj0506/teachingAssistant,Together AI,inference_service,code_signature,together_sdk,app.py,high,,not_applicable,code_signature
harshu07/ai_tutor,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
harshu07/ai_tutor,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
harshu07/ai_tutor,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
hasithmutha/quiz-generator-ai,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
hasithmutha/quiz-generator-ai,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
hasithmutha/quiz-generator-ai,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
HemanthRaj/Socratic-AI-Tutor-Model,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
HemanthRaj/Socratic-AI-Tutor-Model,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
HemanthRaj/Socratic-AI-Tutor-Model,Mistral AI,model_dependency,hf_linked_model,mistralai/Mistral-7B-Instruct-v0.3,hub_metadata,high,Mistral/Mixtral,apache-2.0,base_model_namespace
HemanthRaj/socratic-tutor-embedder,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
HemanthRaj/socratic-tutor-embedder,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
HumeraAI/lesson-plan-generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
HumeraAI/lesson-plan-generator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
HumeraAI/quiz-generator-from-PDF,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
HumeraAI/quiz-generator-from-PDF,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
HumeraAI/quiz-generator-from-PDF,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
hussainzaidi/AI-Teaching-Assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
hussainzaidi/AI-Teaching-Assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
husseinhug321/Study-Buddy-AI-Learning-Assistant,namespace:HuggingFaceTB,model_dependency,hf_linked_model,HuggingFaceTB/SmolLM-135M-Instruct,hub_metadata,high,SmolLM,apache-2.0,unmapped_public_namespace
hyder-ali/ai_tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
hyder-ali/ai_tutor,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
iamyash222/studyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
iamyash222/studyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
ifaundezf/estudiapp-quiz-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
ifaundezf/estudiapp-quiz-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
ifaundezf/estudiapp-quiz-generator,namespace:lmqg,model_dependency,hf_linked_model,lmqg/mt5-small-esquad-qg,hub_metadata,high,mt5,cc-by-4.0,unmapped_public_namespace
iju123/Quiz_Generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
ilangs/AI_Math_Tutor,OpenAI,inference_service,code_signature,openai_official,RAG_sys/csv_refiner.py,high,,not_applicable,code_signature
ilangs/AI_Math_Tutor,OpenAI,inference_service,code_signature,openai_official,RAG_sys/rag_helper.py,high,,not_applicable,code_signature
ilsa15/educational_chatbot,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
Imsachinsingh00/education_chatbot,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
Imsachinsingh00/education_chatbot,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
Imsachinsingh00/education_chatbot,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
Imsachinsingh00/education_chatbot,DeepSeek,model_dependency,hf_linked_model,deepseek-ai/DeepSeek-R1,hub_metadata,high,DeepSeek,mit,model_namespace
ishanmm0410/rag-quiz-generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
ishanmm0410/rag-quiz-generator,Groq,inference_service,code_signature,groq_sdk,quiz_generator.py,high,,not_applicable,code_signature
isreyas/Study_Assistant,Google,inference_service,code_signature,gemini_sdk,study.py,high,,not_applicable,code_signature
itsh4r01/AI-Quiz-Generator,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
itsh4r01/AI-Quiz-Generator,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
itsh4r01/AI-Quiz-Generator,Meta,model_dependency,hf_linked_model,meta-llama/Meta-Llama-3-8B-Instruct,hub_metadata,high,Llama,llama3,model_namespace
Jainish210705/Quiz_Generator,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Jainish210705/Quiz_Generator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
jakeeeeeeee/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app (1).py,high,,not_applicable,code_signature
jakeeeeeeee/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
jakeeeeeeee/my-study-assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Janakimeena/RAG-Base-Educational-Chatbot,Google,inference_service,code_signature,gemini_sdk,chat_faiss.py,high,,not_applicable,code_signature
Janakimeena/RAG-Base-Educational-Chatbot,Google,inference_service,code_signature,gemini_sdk,rag_fastapi_gui.py,high,,not_applicable,code_signature
Janakimeena/RAG-Base-Educational-Chatbot,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
Janakimeena/RAG-Base-Educational-Chatbot,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
Jangasathwika/ai.tutor,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Jangasathwika/ai.tutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
Jangasathwika/aitutor,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Jangasathwika/aitutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
Jayadityasahu/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Jayadityasahu/my-study-assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
jayeshjachak/Study_Assistant,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
jayeshjachak/Study_Assistant,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
jayeshjachak/Study_Assistant,Google,model_dependency,hf_linked_model,google/flan-t5-small,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
jayeshjachak/Study_Assistant,namespace:sshleifer,model_dependency,hf_linked_model,sshleifer/distilbart-cnn-12-6,hub_metadata,high,distilbart,apache-2.0,unmapped_public_namespace
jdbolter/language-tutor,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
jdbolter/language-tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
jee-ai-tutor/jee-ai-tutor-app,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
jee-ai-tutor/jee-ai-tutor-app,DeepSeek,model_dependency,hf_linked_model,deepseek-ai/DeepSeek-R1,hub_metadata,high,DeepSeek,mit,model_namespace
jenny-yuu/english-teaching-assistant,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
jenny-yuu/english-teaching-assistant,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
jenny-yuu/english-teaching-assistant,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
jenny-yuu/english-teaching-assistant,Google,model_dependency,hf_linked_model,google/flan-t5-small,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
jenny-yuu/english-teaching-assistant,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
jenny-yuu/english-teaching-assistant,namespace:sshleifer,model_dependency,hf_linked_model,sshleifer/distilbart-cnn-12-6,hub_metadata,high,distilbart,apache-2.0,unmapped_public_namespace
jeyabala2905/12th-biology-ai-tutor,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
jeyabala2905/12th-biology-ai-tutor,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen2.5-VL-7B-Instruct,hub_metadata,high,Qwen,apache-2.0,model_namespace
jimmyyzz/Quiz_Generator,Anthropic,inference_service,code_signature,anthropic_import,app/config.py,high,,not_applicable,code_signature
jimmyyzz/Quiz_Generator,Groq,inference_service,code_signature,groq_sdk,app/config.py,high,,not_applicable,code_signature
jimmyyzz/Quiz_Generator,User-managed runtime,local_runtime,code_signature,ollama_runtime,app/config.py,high,,not_applicable,code_signature
jlazoflores/Language_Tutor,Google,inference_service,code_signature,gemini_sdk,language_tutor.py,high,,not_applicable,code_signature
john-supplychain/cpim-ai-tutor,DeepSeek,inference_service,code_signature,deepseek_endpoint,hybrid_rag.py,high,,not_applicable,code_signature
jonowrenn/cs-study-assistant,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
Josebert/JR_Quiz_Generator,Hugging Face,inference_service,code_signature,hf_inference,app.py,high,,not_applicable,code_signature
Josebert/JR_Quiz_Generator,Mistral AI,model_dependency,hf_linked_model,mistralai/Mistral-7B-Instruct-v0.3,hub_metadata,high,Mistral/Mixtral,apache-2.0,base_model_namespace
JPPD/Tutor-fisica-abp-chatbot,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
jsilbersky/AI-language-tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
jsilbersky/AI-language-tutor,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
jsilbersky/AI-language-tutor,namespace:facebook,model_dependency,hf_linked_model,facebook/blenderbot-400M-distill,hub_metadata,high,blenderbot,apache-2.0,unmapped_public_namespace
JulsdL/AI-Notebook-Tutor,OpenAI,inference_service,code_signature,openai_official,notebook_tutor/document_processing.py,high,,not_applicable,code_signature
Junaidblr/lesson-plan-generator,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
Junaidblr/lesson-plan-generator,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
jyoti210303/quiz-question-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
jyoti210303/quiz-question-generator,namespace:openai-community,model_dependency,hf_linked_model,openai-community/gpt2,hub_metadata,high,gpt2,mit,unmapped_public_namespace
KaifKohari/ai-math-tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
kalai1915/AI-Tutor-Image-Gen,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
kalai1915/AI-Tutor-Image-Gen,namespace:runwayml,model_dependency,hf_linked_model,runwayml/stable-diffusion-v1-5,hub_metadata,high,Stable Diffusion,creativeml-openrail-m,unmapped_public_namespace
kanagaraj/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
kanagaraj/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Kanharamgurjar/Study_assistant_model,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Kanharamgurjar/Study_assistant_model,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
karibubybsf/ai_tutor,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
karibubybsf/ai_tutor,Hugging Face,inference_service,code_signature,hf_inference,main.py,high,,not_applicable,code_signature
karibubybsf/ai_tutor,Meta,model_dependency,hf_linked_model,meta-llama/Llama-3.3-70B-Instruct,hub_metadata,high,Llama,llama3.3,base_model_namespace
karibubybsf/ai_tutor_v2,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
karibubybsf/ai_tutor_v2,Hugging Face,inference_service,code_signature,hf_inference,main.py,high,,not_applicable,code_signature
karibubybsf/ai_tutor_v2,Meta,model_dependency,hf_linked_model,meta-llama/Llama-3.3-70B-Instruct,hub_metadata,high,Llama,llama3.3,base_model_namespace
karibubybsf/ai_tutor_v3,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
