space_id,provider,layer,evidence_type,evidence_value,source_file,confidence,model_family,upstream_license,provider_basis
Boyston/reachy_mini_language_tutor,OpenAI,inference_service,configuration_signature,openai_official,.env.example,medium,,not_applicable,configuration_signature
Boyston/reachy_mini_language_tutor,namespace:AdamCodd,model_dependency,hf_linked_model,AdamCodd/YOLOv11n-face-detection,hub_metadata,high,YOLO11,apache-2.0,unmapped_public_namespace
Boyston/reachy_mini_language_tutor,namespace:HuggingFaceTB,model_dependency,hf_linked_model,HuggingFaceTB/SmolVLM2-2.2B-Instruct,hub_metadata,high,SmolVLM,apache-2.0,unmapped_public_namespace
brcew/ai-engineering-tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
brcew/ai-engineering-tutor,Groq,inference_service,code_signature,groq_sdk,ai_engineering_tutor.py,high,,not_applicable,code_signature
brcew/ai-engineering-tutor,Groq,inference_service,code_signature,groq_sdk,index.html,high,,not_applicable,code_signature
brcew/ai-engineering-tutor,Groq,inference_service,code_signature,groq_sdk,server.js,high,,not_applicable,code_signature
brcew/ai-engineering-tutor,Groq,inference_service,code_signature,groq_sdk,sw.js,high,,not_applicable,code_signature
brcew/ai-engineering-tutor,Groq,inference_service,configuration_signature,groq_sdk,.env.example,medium,,not_applicable,configuration_signature
BRH-Burhanudin/kimia-ai-tutor,Google,inference_service,code_signature,gemini_sdk,extract_soal.py,high,,not_applicable,code_signature
BRH-Burhanudin/kimia-ai-tutor,Google,inference_service,code_signature,gemini_sdk,generate_hints.py,high,,not_applicable,code_signature
BRH-Burhanudin/kimia-ai-tutor,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
BRH-Burhanudin/kimia-ai-tutor,Google,inference_service,package,langchain-google-genai,requirements.txt,high,,not_applicable,package
BRH-Burhanudin/kimia-ai-tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
BRH-Burhanudin/kimia-ai-tutor,namespace:models,model_dependency,code_model_id,models/gemini-3.1-flash-lite,selected_source_files,medium,gemini,missing,unmapped_public_namespace
Brisha124/AI_TUTOR,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
build-small-hackathon/tutordesk-ai,Cohere,inference_service,package,cohere,requirements.txt,high,,not_applicable,package
build-small-hackathon/tutordesk-ai,Cohere,inference_service,configuration_signature,cohere_sdk,.env.example,medium,,not_applicable,configuration_signature
build-small-hackathon/tutordesk-ai,User-managed runtime,local_runtime,package,llama-cpp-python,requirements-local.txt,high,,not_applicable,package
build-small-hackathon/tutordesk-ai,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
build-small-hackathon/tutordesk-ai,Alibaba,model_dependency,hf_linked_model,naazimsnh02/tutordesk-qwen3-4b,hub_metadata,high,Qwen,apache-2.0,base_model_namespace
build-small-hackathon/tutordesk-ai,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen3-4B,hub_metadata,high,Qwen,apache-2.0,base_model_namespace
build-small-hackathon/tutordesk-ai,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen3-4B-GGUF,hub_metadata,high,Qwen,apache-2.0,base_model_namespace
build-small-hackathon/tutordesk-ai,Black Forest Labs,model_dependency,hf_linked_model,black-forest-labs/FLUX.1-schnell,hub_metadata,high,FLUX.1,apache-2.0,model_namespace
build-small-hackathon/tutordesk-ai,namespace:CohereLabs,model_dependency,hf_linked_model,CohereLabs/tiny-aya-fire,hub_metadata,high,tiny,cc-by-nc-4.0,unmapped_public_namespace
build-small-hackathon/tutordesk-ai,namespace:openbmb,model_dependency,hf_linked_model,openbmb/MiniCPM-V-4.6,hub_metadata,high,MiniCPM,apache-2.0,unmapped_public_namespace
build-small-hackathon/tutordesk-ai,namespace:openbmb,model_dependency,hf_linked_model,openbmb/MiniCPM-V-4_5,hub_metadata,high,MiniCPM,apache-2.0,unmapped_public_namespace
BUNNY95R/AI_study_assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
BUNNY95R/AI_study_assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
chandanareddy1234/AITutor,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
ChandiniSiri/AI_TUTOR,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
ChandiniSiri/AI_TUTOR,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
chandrakireeti/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
chandrakireeti/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
chapeljj/PISA-Teaching-Assistant-Chatbot,Google,inference_service,code_signature,gemini_sdk,app-v2.py,high,,not_applicable,code_signature
chapeljj/PISA-Teaching-Assistant-Chatbot,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Charan-27-10/AI_TUTOR,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
cheriftassii/my-ai-tutor,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
cheriftassii/my-ai-tutor,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Chidvilash3/socratic-tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
Chidvilash3/socratic-tutor,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
chsubhasis/AI_Tutor,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
chsubhasis/AI_Tutor,Mistral AI,model_dependency,hf_linked_model,HuggingFaceH4/zephyr-7b-beta,hub_metadata,high,Mistral/Mixtral,mit,base_model_namespace
chsubhasis/AI_Tutor,namespace:mixedbread-ai,model_dependency,hf_linked_model,mixedbread-ai/mxbai-embed-large-v1,hub_metadata,high,mxbai,apache-2.0,unmapped_public_namespace
cipher2150/Study-Assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
cipher2150/Study-Assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
clugg25/cluggos-ai-quiz-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
clugg25/cluggos-ai-quiz-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
clugg25/cluggos-ai-quiz-generator,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
CodeDiva42/study-assistant,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
CodeDiva42/study-assistant,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
codewithchaitanya15/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
codewithchaitanya15/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
cosmoEagle/DSA-Teaching-Assistant,Google,inference_service,code_signature,gemini_sdk,agents/teaching_assistant.py,high,,not_applicable,code_signature
cosmoEagle/DSA-Teaching-Assistant,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
crystallizedcrust/quiz-generator,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
CT-AITUTOR/AITUTOR,Amazon Web Services,cloud_sdk,package,boto3,requirements.txt,high,,not_applicable,package
CT-AITUTOR/AITUTOR,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
curalearning/lesson_plan_generator,Google,inference_service,code_signature,gemini_sdk,src/gpt_method.py,high,,not_applicable,code_signature
curalearning/lesson_plan_generator,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
Cyfer-ap/AI-Coding-Tutor,Hugging Face,inference_service,code_signature,hf_inference,backend/debug_hf_api.py,high,,not_applicable,code_signature
Cyfer-ap/AI-Coding-Tutor,Alibaba,model_dependency,hf_linked_model,Qwen/Qwen3-235B-A22B,hub_metadata,high,Qwen,apache-2.0,model_namespace
Cyfer-ap/AI-Coding-Tutor,Google,model_dependency,hf_linked_model,google/gemma-3-27b-it,hub_metadata,high,Gemma,gemma,base_model_namespace
Cyfer-ap/AI-Coding-Tutor,namespace:Salesforce,model_dependency,hf_linked_model,Salesforce/codegen-350M-mono,hub_metadata,high,codegen,bsd-3-clause,unmapped_public_namespace
DakshSadotra/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
DakshSadotra/my-study-assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
danielspba/Chatbot-Tutor-IA,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
danielspba/Chatbot-Tutor-IA,OpenRouter,inference_service,code_signature,openrouter_endpoint,app.py,high,,not_applicable,code_signature
