github_repository,file_path,git_blob_sha,public_url,status_code,bytes,sha256,captured_at
Aditya1546/ai-study-assistant,README.md,8c54d247f06c21d982cf771a57e8f0c5012fdcfa,https://github.com/Aditya1546/ai-study-assistant/blob/main/README.md,200,1616,d86ce9bfa875366a2c412cbcef11d91ec34d53bc9c50f0b533ab717ecdc52b9b,2026-08-30T22:09:47.131067+00:00
Aditya1546/ai-study-assistant,app.py,20b4604f856f6b4d1f2b88a279666816139e4288,https://github.com/Aditya1546/ai-study-assistant/blob/main/app.py,200,1215,508c56c88fc0e911f7303b0437b13e018f058eb1d4ded0a9e35f8a981ed2b647,2026-08-30T22:09:47.715986+00:00
Aditya1546/ai-study-assistant,rag_engine.py,b2d6daaa4afa0afe8cf648274a04f4c9dd96c0b8,https://github.com/Aditya1546/ai-study-assistant/blob/main/rag_engine.py,200,2552,ea929105eb77d6aae4636a5e07b6d78b3f9897341aeabff68f3b3d2cb5496328,2026-08-30T22:09:48.037016+00:00
Aditya1546/ai-study-assistant,requirements.txt,6e83abba0e77b5814c554dd08c77dbdcc7a59a06,https://github.com/Aditya1546/ai-study-assistant/blob/main/requirements.txt,200,95,bba916c0f3210765d40999234d2e2cb6fee11d8ffb71bcbfb61fc858c1c8b93e,2026-08-30T22:09:47.457489+00:00
Aditya1546/ai-study-assistant,src/streamlit_app.py,99d0b84662681e7d21a08fcce44908344fa86f80,https://github.com/Aditya1546/ai-study-assistant/blob/main/src/streamlit_app.py,200,1125,67c3220df70c5f085a360e92abd29ba4c9f56cbd5ffcab04cd45ba6096794b04,2026-08-30T22:09:48.393656+00:00
CountingMstar/AI_BERT,README.md,49f350028c790fe304280ab6206f1fb5869147dd,https://github.com/CountingMstar/AI_BERT/blob/main/README.md,200,10779,fd95bfdeeb11049bc4e852933d4964647ed23fc85aa5abc6f42d1bb436fb71c7,2026-08-30T22:09:55.670103+00:00
Naazimsnh02/tutordesk_ai,.env.example,62e7112798042131050fff78625f834179698a9b,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/.env.example,200,982,dbf48265ae54a92892a510beda9cc3486010f547ea5cf67472f08b16147f236b,2026-08-30T22:10:07.872754+00:00
Naazimsnh02/tutordesk_ai,README.md,3b3f7d8850237da91e2bdb630c0e6075c81e5d76,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/README.md,200,13837,26ac9437ac5b13fe8007135f19b8f8d17cddaae9f5d7b9d37b1778328f468eca,2026-08-30T22:10:08.153472+00:00
Naazimsnh02/tutordesk_ai,app.py,5c4c7057871ad5d8435cb4ec02ee3b76cc019aa9,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/app.py,200,11783,ee1e7eb5cbd548e08bca3b6f8449252dc3c3dc41525d255d9be9cba7e1d2ab3c,2026-08-30T22:10:09.032807+00:00
Naazimsnh02/tutordesk_ai,config.py,ccbfc83abf4e82e74bfd58ac8e651b2d82cd5324,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/config.py,200,2705,05f31566646c2951cb6e637607574053869c2e1909fa3ab9767c87276b66193c,2026-08-30T22:10:09.294863+00:00
Naazimsnh02/tutordesk_ai,requirements-local.txt,eb93dc7e11b9f7057e41bc79a8e4978e66412cf4,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/requirements-local.txt,200,499,d793650d93931fc3b73ef387d9ce4bc74334be948f46a4c3cd00ac71298f332c,2026-08-30T22:10:08.502353+00:00
Naazimsnh02/tutordesk_ai,requirements.txt,e515e82e10936fc388c9cb6335aa9691195fce55,https://github.com/Naazimsnh02/tutordesk_ai/blob/main/requirements.txt,200,733,0d9b022295e0b792c07d477496249f0113733588f766e2e1af888d156e7bd3ea,2026-08-30T22:10:08.767097+00:00
Srinivas25046/ai-study-assistant,README.md,c7fe43f2da16dbb224e7e950a94827111a040c77,https://github.com/Srinivas25046/ai-study-assistant/blob/main/README.md,200,2454,21eb90ffc18e2f100ddaf68bb6bba5a02c0e2e8b684f1d30715d3b24ebbae0e4,2026-08-30T22:10:13.156031+00:00
Srinivas25046/ai-study-assistant,app.py,d99c36b014b8fcc2c89b85bc00118e20191664c3,https://github.com/Srinivas25046/ai-study-assistant/blob/main/app.py,200,2663,ef50a7072e48a24cea12e2fdd95e220fc7602694526c7566212f0e359cc80694,2026-08-30T22:10:13.685421+00:00
Srinivas25046/ai-study-assistant,requirements.txt,e635f6df8af0f51b6088abcc8bcefd98d705e41b,https://github.com/Srinivas25046/ai-study-assistant/blob/main/requirements.txt,200,32,8c54f708ec93ad159d47511cb5f603adf5751e86edd192c0e2c5df2e930b8050,2026-08-30T22:10:13.422841+00:00
ayushsainime/SOCRATIC_MATH_TUTOR.AI,README.md,67c2fc9c41676173e43feca58c284a691bb9a81b,https://github.com/ayushsainime/LEGAL_EASE.ai/blob/main/README.md,200,7575,b8c7414485083a9f84cfa5d0d59da5c3c831b50878732dbfced6d03832cc191b,2026-08-30T22:09:49.270527+00:00
ayushsainime/SOCRATIC_MATH_TUTOR.AI,requirements.txt,ba366fb214b8b65ac4cd66e2fc47d31fb26bd762,https://github.com/ayushsainime/LEGAL_EASE.ai/blob/main/requirements.txt,200,118,dfdc4490d9cdcb0e864c3114e43ec14591edb23e39af17cd71124db68de208d8,2026-08-30T22:09:49.595864+00:00
ayushsainime/SOCRATIC_MATH_TUTOR.AI,rxconfig.py,682b6b15a041dd367d852f7eee13691bdd584f35,https://github.com/ayushsainime/LEGAL_EASE.ai/blob/main/rxconfig.py,200,179,09b83356b0fc14190970597b982070cd903485ded1f2d6c00f81ec7e9d017e27,2026-08-30T22:09:49.921179+00:00
brcew/AI-Engineering-Tutor,.env.example,b39659c798c52d7d5aafc430582b58c1ab6deff6,https://github.com/brcew/AI-Engineering-Tutor/blob/main/.env.example,200,296,89ce8802e391dd52a6a57d054533e30e8ad09a29575100e485f80aed7b6da424,2026-08-30T22:09:50.527654+00:00
brcew/AI-Engineering-Tutor,LICENSE,a6be8234e315c2339072a1eaabab088cf51060ed,https://github.com/brcew/AI-Engineering-Tutor/blob/main/LICENSE,200,1084,6d9abe22aef0640f5fbb013a547c9f8b5850a08a0d07b3ad185f27eccbc7a987,2026-08-30T22:09:50.919015+00:00
