unknown_treatment,strict_phrase_projects,strict_dependency_observable_projects,known_service_projects,unmapped_candidate_projects,unmapped_candidate_only_projects,known_or_candidate_service_projects,matched_projects,service_categories,model_categories,weighting,service_hhi,model_hhi,hhi_difference_service_minus_model,service_hhi_ci_low,service_hhi_ci_high,model_hhi_ci_low,model_hhi_ci_high,hhi_difference_ci_low,hhi_difference_ci_high,bootstrap_fraction_service_hhi_gt_model_hhi,bootstrap_draws,bootstrap_seed
known_services_only,706,530,400,117,26,426,99,9,26,project_equal,0.33894500561167223,0.12379830856261832,0.21514669704905393,0.26859249056218754,0.43620612692582383,0.10717851211327643,0.1583909734267478,0.1424894993708125,0.29643290367196085,1.0,2000,20260831
pooled_unmapped_candidates,706,530,400,117,26,426,106,10,34,project_equal,0.2371494402911277,0.11430891776432896,0.12284052252679874,0.20050198271429132,0.28984934338040425,0.09825869724298882,0.14722732116015982,0.07928811409754362,0.1669759404295716,1.0,2000,20260831
machine_identifier_categories,706,530,400,117,26,426,106,37,34,project_equal,0.1699678117954195,0.11430891776432896,0.05565889403109055,0.1312658901447727,0.22451726963925472,0.09825869724298882,0.14722732116015982,0.008966998437561761,0.10078755414145005,0.9915,2000,20260831
project_unique_unknown_bound,706,530,400,117,26,426,106,56,34,project_equal,0.17612535105415134,0.11430891776432896,0.06181643328982238,0.135876127328824,0.2329068767058264,0.09825869724298882,0.14722732116015982,0.013448093429848514,0.10927985072781929,0.9965,2000,20260831
