minimum_history_span_days,projects,paired_service_projects,initial_service_hhi,current_service_hhi,hhi_change_current_minus_initial,hhi_change_ci_low,hhi_change_ci_high,bootstrap_fraction_change_gt_zero,unchanged_same,unchanged_no_signal,added,changed,removed
0,530,282,0.2989286253206579,0.30332226749157487,0.004393642170916978,-0.011820000880237441,0.0221186057039385,0.713,248,119,118,34,11
1,142,81,0.25880201188843166,0.25762078951379364,-0.0011812223746380246,-0.02771871665904588,0.025348079561042496,0.458,65,33,24,16,4
7,76,44,0.2603305785123967,0.26967975206611566,0.009349173553718948,-0.03667355371900824,0.05834904442148755,0.673,33,16,13,11,3
30,43,24,0.23784722222222224,0.22413194444444445,-0.013715277777777785,-0.07379123263888893,0.05123263888888875,0.3355,16,10,7,8,2
90,26,15,0.2444444444444444,0.2431111111111111,-0.0013333333333332975,-0.06644444444444436,0.10557222222222208,0.376,12,5,5,3,1
180,16,11,0.22314049586776857,0.2268595041322314,0.0037190082644628364,-0.05289256198347106,0.11984504132231409,0.408,9,3,2,2,0
