robustness_family,variant,strict_projects_in_frame,boundary,matched_projects,service_categories,model_categories,weighting,service_hhi,model_hhi,hhi_difference_service_minus_model,service_hhi_ci_low,service_hhi_ci_high,model_hhi_ci_low,model_hhi_ci_high,hhi_difference_ci_low,hhi_difference_ci_high,bootstrap_fraction_service_hhi_gt_model_hhi,bootstrap_draws,bootstrap_seed,omitted_projects
leave_one_service_provider_out,Anthropic,526,omits every project declaring the focal inference-service provider from both layers,97,8,24,project_equal,0.35056860452757993,0.1287434607527072,0.22182514377487272,0.2754689658837283,0.4436762674035498,0.11169300079120463,0.16316289220722469,0.14715653452368296,0.3022475894828828,1.0,2000,20260831,4.0
leave_one_service_provider_out,Cohere,525,omits every project declaring the focal inference-service provider from both layers,97,8,22,project_equal,0.3517908385588266,0.12821648303633637,0.22357435552249022,0.2819614199171006,0.4506894994154532,0.11069676196549404,0.16345520246572434,0.1498293595966038,0.3101294859531653,1.0,2000,20260831,5.0
leave_one_service_provider_out,DeepSeek,526,omits every project declaring the focal inference-service provider from both layers,99,9,26,project_equal,0.33894500561167223,0.12379830856261832,0.21514669704905393,0.26859249056218754,0.43620612692582383,0.10717851211327643,0.1583909734267478,0.1424894993708125,0.29643290367196085,1.0,2000,20260831,4.0
leave_one_service_provider_out,Fireworks AI,529,omits every project declaring the focal inference-service provider from both layers,98,8,26,project_equal,0.3457934194085798,0.12406433661900132,0.2217290827895785,0.2730867346938775,0.4415471418159099,0.1063505078902309,0.15990993336109954,0.14674437589661712,0.3034252221296681,1.0,2000,20260831,1.0
leave_one_service_provider_out,Google,333,omits every project declaring the focal inference-service provider from both layers,83,7,21,project_equal,0.44498475831034984,0.1383263979613232,0.3066583603490266,0.3543311801422558,0.5558934533313978,0.11817077547136336,0.18201117723907673,0.21646949242754143,0.39776878598732257,1.0,2000,20260831,197.0
leave_one_service_provider_out,Groq,437,omits every project declaring the focal inference-service provider from both layers,82,8,24,project_equal,0.4523349196906603,0.12845363209729657,0.32388128759336376,0.3559256023200476,0.5820437983343247,0.10685583151563223,0.17758774538964903,0.22449372893119188,0.42634416931059543,1.0,2000,20260831,93.0
leave_one_service_provider_out,Hugging Face,475,omits every project declaring the focal inference-service provider from both layers,45,8,22,project_equal,0.24345679012345678,0.13217421124828532,0.11128257887517146,0.2039475308641975,0.33852469135802465,0.09558230452674897,0.22717695473251018,0.040200617283950614,0.1779876543209876,0.9965,2000,20260831,55.0
leave_one_service_provider_out,OpenAI,476,omits every project declaring the focal inference-service provider from both layers,88,7,21,project_equal,0.4120609504132231,0.13969058482552799,0.2723703655876951,0.33255423553719016,0.5149276859504133,0.12222244641012396,0.18137177886822772,0.1870841762798439,0.364157331482438,1.0,2000,20260831,54.0
leave_one_service_provider_out,OpenRouter,519,omits every project declaring the focal inference-service provider from both layers,92,8,25,project_equal,0.38572188090737247,0.12958970016803192,0.2561321807393405,0.3147905836483932,0.48778060018903585,0.1117443486137366,0.16723845108695654,0.18036094045368622,0.3408071439823566,1.0,2000,20260831,11.0
leave_one_service_provider_out,Together AI,527,omits every project declaring the focal inference-service provider from both layers,97,8,26,project_equal,0.3514188542884472,0.12452763902174041,0.2268912152667068,0.28333643320225316,0.4519117334466999,0.10697378248957852,0.1625597462831095,0.15329051085839798,0.31195228268442743,1.0,2000,20260831,3.0
