space_id,runtime_stage,disabled,last_modified,last_modified_age_days
Armour-12/Quiz-generator-t5base,SLEEPING,False,2026-03-12T10:41:33.000Z,171.55447916666665
Armour-12/Quiz_Generator,BUILD_ERROR,False,2024-03-14T08:16:11.000Z,899.6554282407408
ARNABMAJI1234/interactive-study-assistant-demo,RUNTIME_ERROR,False,2026-08-01T14:19:36.000Z,29.403055555555557
arsalan16/Quiz-Generator-App,BUILD_ERROR,False,2024-12-16T18:07:26.000Z,622.244837962963
Artykun/Ai-Quiz-Generator,SLEEPING,False,2026-05-11T15:20:28.000Z,111.36078703703704
arumugam-rockstar/Myfirst-AITutor,PAUSED,False,2026-08-03T11:41:21.000Z,27.51295138888889
asad9641/AI-Study-Assistant-Ragbase,SLEEPING,False,2025-11-18T17:42:21.000Z,285.26225694444446
Ashwand5/AI_Educational_Assistant,RUNTIME_ERROR,False,2025-09-03T10:28:21.000Z,361.56364583333334
Asif1karim/Study_Assistant,SLEEPING,False,2025-08-04T07:58:00.000Z,391.66805555555555
aviatrix/Ai_Powered_Study_Assistant,RUNTIME_ERROR,False,2026-07-11T08:22:14.000Z,50.65122685185185
Axiosingular/ai-tutor,RUNNING,False,2026-07-13T15:30:27.000Z,48.353854166666665
ay3shaa/ai-study-assistant,RUNTIME_ERROR,False,2025-07-23T11:31:24.000Z,403.5198611111111
AyeshaMasood/quiz-generator,SLEEPING,False,2025-04-15T08:23:46.000Z,502.65016203703703
ayudellastuti/rag-quiz-generator,SLEEPING,False,2026-06-28T12:03:23.000Z,63.497650462962966
ayushsainime/socratic_maths_tutor.ai,SLEEPING,False,2026-04-10T10:43:48.000Z,142.55291666666668
BadaPoojitha/StudyAssistant,SLEEPING,False,2026-07-04T17:25:30.000Z,57.27395833333333
Bahauddin01/language-tutor-ai,RUNTIME_ERROR,False,2026-04-20T11:42:28.000Z,132.51217592592593
Belliar666/english-tutor-chatbot,SLEEPING,False,2025-10-11T17:28:58.000Z,323.2715509259259
Bhargavi-31/Ai_tutor,SLEEPING,False,2026-07-06T13:12:36.000Z,55.44958333333334
bhaskarreddy2006/my-study-assistant,RUNTIME_ERROR,False,2026-08-05T09:48:15.000Z,25.591493055555556
Bhuvana908/StudyAssistant,SLEEPING,False,2026-08-02T06:34:06.000Z,28.726319444444446
bielik-chatbot-devteam/english_tutor_bielik_ai,SLEEPING,False,2026-01-21T01:02:02.000Z,221.9569212962963
bimboawo2026/AI-Tutor,SLEEPING,False,2026-08-26T18:13:04.000Z,4.240925925925926
bobo0000/PDF-Quiz-Generator,RUNTIME_ERROR,False,2025-06-11T20:29:19.000Z,445.1463078703704
Boyston/reachy_mini_language_tutor,RUNNING,False,2026-05-11T16:04:39.000Z,111.33010416666667
brcew/ai-engineering-tutor,SLEEPING,False,2026-06-21T09:09:48.000Z,70.61819444444444
BRH-Burhanudin/kimia-ai-tutor,SLEEPING,False,2026-06-24T07:56:10.000Z,67.6693287037037
Brisha124/AI_TUTOR,RUNTIME_ERROR,False,2026-07-03T10:02:32.000Z,58.58157407407408
build-small-hackathon/tutordesk-ai,RUNNING,False,2026-06-15T19:01:56.000Z,76.20699074074074
BUNNY95R/AI_study_assistant,SLEEPING,False,2026-08-17T12:30:55.000Z,13.478530092592592
chandanareddy1234/AITutor,SLEEPING,False,2026-07-03T09:27:23.000Z,58.60598379629629
ChandiniSiri/AI_TUTOR,SLEEPING,False,2026-07-02T09:55:42.000Z,59.58631944444444
chandrakireeti/StudyAssistant,SLEEPING,False,2026-07-13T17:09:36.000Z,48.285
chapeljj/PISA-Teaching-Assistant-Chatbot,SLEEPING,False,2025-09-12T03:38:07.000Z,352.84853009259257
Charan-27-10/AI_TUTOR,SLEEPING,False,2026-07-01T16:25:05.000Z,60.31591435185185
cheriftassii/my-ai-tutor,RUNTIME_ERROR,False,2025-03-24T22:50:51.000Z,524.0480208333333
Chidvilash3/socratic-tutor,SLEEPING,False,2026-06-28T11:50:07.000Z,63.50686342592593
chsubhasis/AI_Tutor,BUILD_ERROR,False,2024-11-28T06:13:30.000Z,640.740625
cipher2150/Study-Assistant,RUNTIME_ERROR,False,2026-04-14T04:48:06.000Z,138.79993055555556
clugg25/cluggos-ai-quiz-generator,RUNTIME_ERROR,False,2025-11-29T16:17:36.000Z,274.3211111111111
CodeDiva42/study-assistant,PAUSED,False,2026-07-09T12:49:43.000Z,52.46547453703704
codewithchaitanya15/StudyAssistant,RUNTIME_ERROR,False,2026-07-23T18:23:58.000Z,38.23335648148148
cosmoEagle/DSA-Teaching-Assistant,RUNNING,False,2025-07-09T07:32:54.000Z,417.6854861111111
crystallizedcrust/quiz-generator,RUNTIME_ERROR,False,2025-10-13T15:03:45.000Z,321.3723958333333
CT-AITUTOR/AITUTOR,SLEEPING,False,2025-03-18T04:20:58.000Z,530.8187731481481
curalearning/lesson_plan_generator,SLEEPING,False,2025-06-18T03:51:25.000Z,438.8392939814815
Cyfer-ap/AI-Coding-Tutor,SLEEPING,False,2025-05-23T11:19:04.000Z,464.52842592592594
DakshSadotra/my-study-assistant,SLEEPING,False,2026-04-25T19:40:20.000Z,127.18032407407408
danielspba/Chatbot-Tutor-IA,RUNTIME_ERROR,False,2025-04-24T13:25:59.000Z,493.44028935185185
danielspba/Chatbot_prof_tutor,BUILD_ERROR,False,2025-04-23T18:23:07.000Z,494.23394675925925
Danny2311/Quiz-Generator,SLEEPING,False,2026-03-03T16:14:24.000Z,180.32333333333332
danrdoran/ai_tutor_flan_base,SLEEPING,False,2024-10-14T18:36:43.000Z,685.2245023148148
danrdoran/ai_tutor_flan_t5_large,SLEEPING,False,2024-10-16T15:00:22.000Z,683.3747453703704
danrdoran/ai_tutor_gpt_neox,RUNTIME_ERROR,False,2024-10-14T18:24:35.000Z,685.2329282407408
danrdoran/ai_tutor_llama,SLEEPING,False,2024-10-16T14:17:23.000Z,683.4045949074074
danrdoran/ai_tutor_v2,BUILD_ERROR,False,2024-10-11T19:30:21.000Z,688.1872569444445
DataRebels/chatbot_language_tutor,SLEEPING,False,2024-07-07T20:50:17.000Z,784.1317476851851
DataWizard9742/LessonPlanGenerator,SLEEPING,False,2023-06-09T06:59:44.000Z,1178.7085185185185
david280010195/Teaching_Assistant_AI,BUILD_ERROR,False,2024-12-09T20:42:32.000Z,629.1371296296296
deepang1902/quiz-generator-api,SLEEPING,False,2025-11-08T16:29:10.000Z,295.3130787037037
DeepLearningAI/quiz-generator-v3,SLEEPING,False,2026-03-02T01:08:04.000Z,181.9527314814815
deepthi8518/StudyAssistantApp,RUNTIME_ERROR,False,2025-10-31T09:12:31.000Z,303.61630787037035
deneve07/pharma-quiz-generator,SLEEPING,False,2026-06-17T06:24:48.000Z,74.73277777777778
dhanushshenoyh/study_assistant,PAUSED,False,2026-05-10T12:15:51.000Z,112.48899305555555
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,BUILD_ERROR,False,2025-10-10T14:06:48.000Z,324.41194444444443
dhivakar/my-study-assistant,SLEEPING,False,2026-07-21T11:21:02.000Z,40.527060185185185
Diid12rt/AITUTOR,RUNTIME_ERROR,False,2025-05-31T02:44:00.000Z,456.8861111111111
dikshita0503/pdf-to-quiz-generator,RUNTIME_ERROR,False,2026-03-25T02:45:22.000Z,158.88516203703705
dineshstark7/StudyAssistant,RUNNING,False,2026-07-20T18:33:32.000Z,41.226712962962964
dinu143/Study-Assistant,SLEEPING,False,2026-07-05T08:17:05.000Z,56.65480324074074
DipakBundheliya/flask_ai_tutor,RUNTIME_ERROR,False,2024-06-26T11:13:28.000Z,795.5323148148149
djaber15/ai_tutor,RUNTIME_ERROR,False,2024-07-05T20:44:47.000Z,786.1355671296296
DoctorHolly/BIO_Tutor_Chatbot,BUILD_ERROR,False,2025-04-12T17:30:11.000Z,505.2707060185185
doudoug1/educational-chatbot,BUILD_ERROR,False,2025-03-20T04:03:39.000Z,528.8307986111112
DroolingPanda/teachingAssistant,RUNTIME_ERROR,False,2025-10-06T01:25:09.000Z,328.94086805555554
echarif/education_chatbot,SLEEPING,False,2025-07-01T09:46:45.000Z,425.59253472222224
educationAI/education-ai-study-assistant,SLEEPING,False,2025-09-03T12:55:53.000Z,361.46119212962964
Ehtisham-84/Study-Assistant,RUNTIME_ERROR,False,2025-11-22T17:49:34.000Z,281.25724537037036
ekantabanik/Tutor_Ai,RUNTIME_ERROR,False,2026-07-21T10:35:15.000Z,40.55885416666667
ekerin/german-tutor-chatbot,RUNTIME_ERROR,False,2025-09-02T13:46:25.000Z,362.42609953703703
ekerin/german-tutor-chatbot-v2,RUNTIME_ERROR,False,2025-09-02T14:53:32.000Z,362.3794907407407
elsi29/Quiz-Generator-NLP,RUNTIME_ERROR,False,2026-06-27T13:36:26.000Z,64.43303240740741
elsi29/Quiz-Generator-TextPy,SLEEPING,False,2026-06-28T15:53:11.000Z,63.33806712962963
emanramadan/Tutor_Chatbot,RUNTIME_ERROR,False,2026-02-10T15:56:59.000Z,201.33542824074075
emanramadan/Tutor_Chatbot_,SLEEPING,False,2026-02-10T17:28:10.000Z,201.27210648148147
emashahzad/StudyAssistant,SLEEPING,False,2026-02-12T09:27:43.000Z,199.60575231481482
engrsalman/Educational-AI-Chatbot,BUILD_ERROR,False,2024-11-21T09:51:47.000Z,647.5890393518519
eoinmcg/ai_tutor,SLEEPING,False,2025-02-18T09:38:38.000Z,558.5981712962963
fabeha-raheel/ai_study_assistant,SLEEPING,False,2025-11-14T15:41:18.000Z,289.3463194444444
fahadsiddiqui337/AI-education-chatbot,SLEEPING,False,2025-02-24T10:05:50.000Z,552.5792824074074
Faiz3399/Ai-tutor-assistant,BUILD_ERROR,False,2025-02-24T09:11:24.000Z,552.6170833333333
Fatma033/Educational-Chatbot,SLEEPING,False,2025-10-15T11:39:46.000Z,319.5140509259259
fatymah12/AI_Quiz_Generator,SLEEPING,False,2026-04-10T10:59:01.000Z,142.54234953703704
Felrose/trisem-lesson-plan-generator,SLEEPING,False,2026-05-22T00:50:28.000Z,100.9649537037037
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,PAUSED,False,2026-05-22T00:50:28.000Z,100.9649537037037
firobeid/AI_Tutor,BUILD_ERROR,False,2025-02-12T05:55:13.000Z,564.7533217592593
fizailyas783/smart-study-assistant,SLEEPING,False,2026-04-23T07:59:37.000Z,129.66693287037037
flexfitfury9/ai-educational-platform,RUNTIME_ERROR,False,2026-01-05T17:52:22.000Z,237.25530092592592
flexfitfury9/Ai_educational_platform,SLEEPING,False,2026-01-05T19:28:59.000Z,237.1882060185185
forWard666/AL_TEACHING_ASSISTANT,SLEEPING,False,2024-07-16T08:06:32.000Z,775.6621296296296
gaurav9821/AI-language-Tutor,SLEEPING,False,2026-01-31T06:11:54.000Z,211.74173611111112
geekaijosh/Agent_AI_Tutor,RUNTIME_ERROR,False,2025-06-24T03:12:03.000Z,432.86663194444446
Gimgaru/finalproject_aitutor,SLEEPING,False,2026-06-08T23:51:37.000Z,83.00582175925926
gneya/educational_chatbot,RUNTIME_ERROR,False,2024-05-29T09:11:36.000Z,823.6169444444445
gobikrishna87/TechBytz-AI-Tutor,SLEEPING,False,2026-06-22T13:06:19.000Z,69.45394675925925
