draw,service_hhi,model_hhi,hhi_difference,hhi_ratio,service_top_share,model_top_share,top_share_difference,service_shannon_entropy,model_shannon_entropy,shannon_entropy_difference_model_minus_service
1,0.3794000612182431,0.14802911267557733,0.23137094854266577,2.5630097645031595,0.5757575757575758,0.23737373737373738,0.33838383838383845,1.3396410718295084,2.169456820565512,0.8298157487360034
2,0.3516222834404652,0.13152286047908945,0.22009942296137575,2.6734689479808638,0.5454545454545454,0.2222222222222222,0.3232323232323232,1.3428239978226169,2.3260743750871784,0.9832503772645615
3,0.340347923681257,0.1309446881837454,0.20940323549751158,2.599173195965543,0.5404040404040404,0.19696969696969696,0.3434343434343435,1.4490256448986218,2.293052032100473,0.844026387201851
4,0.3788899091929396,0.12952759922456894,0.24936230996837064,2.925167388735723,0.5757575757575758,0.1893939393939394,0.3863636363636364,1.3244787748581475,2.2615463973067502,0.9370676224486028
5,0.3788644015916744,0.13808114818215828,0.24078325340951612,2.7437807881773404,0.5707070707070707,0.20202020202020202,0.36868686868686873,1.307812924488832,2.238644205454738,0.9308312809659061
6,0.30912661973268035,0.1260727363420966,0.18305388339058376,2.4519704156644115,0.4898989898989899,0.19696969696969696,0.29292929292929293,1.4835621552100435,2.3526677323489973,0.8691055771389538
7,0.3601163146617692,0.11670010996610324,0.24341620469566594,3.08582669516223,0.5606060606060606,0.19696969696969696,0.3636363636363636,1.407700727919641,2.414142059495931,1.00644133157629
8,0.3071625344352617,0.14342640773617205,0.16373612669908966,2.1416037623997153,0.4898989898989899,0.1919191919191919,0.297979797979798,1.535807124950895,2.2152840298985237,0.6794769049476286
9,0.33124171002958874,0.11515406591164168,0.21608764411794706,2.8765090264702615,0.5303030303030303,0.17676767676767677,0.3535353535353535,1.4896386113891456,2.4113096048648797,0.9216709934757341
10,0.34856137128864395,0.12807508304141302,0.22048628824723093,2.721539295632834,0.5454545454545454,0.1994949494949495,0.3459595959595959,1.4256138827596248,2.392335337426198,0.9667214546665734
11,0.3483828180797877,0.1367646725390833,0.2116181455407044,2.5473158500067345,0.5353535353535354,0.1919191919191919,0.3434343434343434,1.385164507766689,2.2618987022710906,0.8767341945044016
12,0.4661769207223753,0.1549331700846852,0.3112437506376901,3.0088903523213704,0.6565656565656566,0.29292929292929293,0.36363636363636365,1.153603665048686,2.1946027327437725,1.0409990676950864
13,0.3657279869401081,0.1323561087870852,0.2333718781530229,2.7632119914346895,0.5656565656565656,0.20202020202020202,0.36363636363636365,1.3717841161272095,2.3157843888437966,0.944000272716587
14,0.298847056422814,0.12598771100454603,0.17285934541826797,2.372033383573662,0.4696969696969697,0.1919191919191919,0.2777777777777778,1.479088029139686,2.373717986986233,0.8946299578465469
15,0.2942811957963473,0.12859798886734913,0.16568320692899818,2.288381011151761,0.4696969696969697,0.2037037037037037,0.265993265993266,1.4949910945701397,2.3273179203716294,0.8323268258014898
16,0.3466993163962861,0.13553889058939567,0.21116042580689043,2.557932375635154,0.5353535353535354,0.25252525252525254,0.2828282828282828,1.3566735528445417,2.344512208949472,0.9878386561049302
17,0.312544638302214,0.10794816855422915,0.20459646974798487,2.8953213610586013,0.5,0.1919191919191919,0.30808080808080807,1.4481186874055165,2.50384076906735,1.0557220816618336
18,0.3315988164473012,0.15790905689895587,0.17368975954834534,2.0999353866034887,0.51010101010101,0.23905723905723902,0.27104377104377103,1.4321453846172454,2.0940090165490073,0.6618636319317619
19,0.3256300377512499,0.13785299685973085,0.18777704089151903,2.3621542162234404,0.5151515151515151,0.2676767676767677,0.24747474747474746,1.4517047929722688,2.3259979375178563,0.8742931445455875
20,0.3518518518518518,0.11587961545874004,0.23597223639311177,3.0363567436684478,0.5454545454545454,0.20707070707070707,0.33838383838383834,1.3904796165102826,2.4718832030856692,1.0814035865753866
21,0.3269054178145087,0.1265743858336451,0.2003310319808636,2.582713837886251,0.5151515151515151,0.21212121212121213,0.303030303030303,1.4527289365172371,2.4023239377120356,0.9495950011947984
22,0.37832874196510563,0.12625128955095286,0.2520774524141528,2.9966326942935395,0.5757575757575758,0.23063973063973067,0.34511784511784516,1.3395627571995483,2.4121998446441975,1.0726370874446491
23,0.3221099887766555,0.11412951059415707,0.2079804781824984,2.822319898681368,0.5202020202020202,0.21717171717171718,0.30303030303030304,1.4862880150973177,2.51662453433051,1.0303365192331921
24,0.40516273849607193,0.1344675713362582,0.27069516715981373,3.013088839709138,0.6111111111111112,0.22306397306397308,0.3880471380471381,1.3259346000851857,2.276139338991759,0.9502047389065731
25,0.3153759820426487,0.16153113627861104,0.15384484576403767,1.9524160437940834,0.48484848484848486,0.24242424242424243,0.24242424242424243,1.4415399408191796,2.092573300673175,0.6510333598539955
26,0.3209876543209876,0.15116938180911246,0.16981827251187512,2.1233642056320066,0.51010101010101,0.23737373737373738,0.2727272727272727,1.4398691072803833,2.180802102068024,0.7409329947876409
27,0.2990511172329354,0.14390254962645538,0.15514856760648005,2.0781502343719223,0.4595959595959596,0.24242424242424243,0.21717171717171718,1.4629518448035332,2.2567596701071917,0.7938078253036585
28,0.3627180899908173,0.13893990409141924,0.22377818589939805,2.610611345694878,0.5555555555555556,0.20707070707070707,0.3484848484848485,1.3487643861789853,2.245749804711146,0.8969854185321608
29,0.380114274053668,0.13784591141493496,0.24226836263873303,2.7575302753048097,0.5808080808080808,0.2003367003367003,0.38047138047138046,1.3669723447758537,2.257331769523148,0.8903594247472943
30,0.3519028670543821,0.14150766928544706,0.21039519776893506,2.4868112720062485,0.5454545454545454,0.23821548821548824,0.3072390572390572,1.410495804568111,2.2612306147567076,0.8507348101885965
31,0.29292929292929293,0.12273124057635844,0.1701980523529345,2.3867541104747825,0.47474747474747475,0.20202020202020202,0.2727272727272727,1.5377754994136048,2.4249146950807585,0.8871391956671537
32,0.36424854606672785,0.1254718906234058,0.23877665544332205,2.903029070949379,0.5656565656565656,0.21212121212121213,0.3535353535353535,1.3787642063369454,2.3216549410971865,0.9428907347602411
33,0.3112182430364248,0.12590551984491377,0.18531272319151104,2.471839546191248,0.51010101010101,0.2222222222222222,0.28787878787878785,1.5414114185398373,2.352890796281715,0.8114793777418778
34,0.35845832057953275,0.13898241676019457,0.21947590381933818,2.579163098005628,0.5555555555555556,0.21212121212121213,0.3434343434343434,1.3916379927527975,2.2741581274408715,0.882520134688074
35,0.32983879196000404,0.12186114795542406,0.20797764400457996,2.706677210037909,0.5353535353535354,0.18771043771043774,0.34764309764309764,1.4955713667360984,2.3484426032268817,0.8528712364907833
36,0.41335067850219376,0.14439853076216713,0.2689521477400266,2.8625684508037454,0.6111111111111112,0.21464646464646464,0.3964646464646465,1.2521180157818947,2.167133807308092,0.9150157915261974
