analysis,provider,project_count,fractional_weight,fractional_share
provider_only_primary,namespace:models,2,1.0,0.002004008016032064
provider_only_primary,TII,1,1.0,0.002004008016032064
provider_only_primary,namespace:3morg,1,1.0,0.002004008016032064
provider_only_primary,namespace:Abdelrahman04,1,1.0,0.002004008016032064
provider_only_primary,namespace:LiquidAI,1,1.0,0.002004008016032064
provider_only_primary,namespace:LoveJesus,1,1.0,0.002004008016032064
provider_only_primary,namespace:akhooli,1,1.0,0.002004008016032064
provider_only_primary,namespace:danrdoran,1,1.0,0.002004008016032064
provider_only_primary,namespace:ke955,1,1.0,0.002004008016032064
provider_only_primary,namespace:lmqg,1,1.0,0.002004008016032064
provider_only_primary,namespace:runwayml,1,1.0,0.002004008016032064
provider_only_primary,namespace:vivicake666,1,1.0,0.002004008016032064
provider_only_primary,namespace:deepseek,2,0.8333333333333333,0.00167000668002672
provider_only_primary,namespace:AdamCodd,2,0.6666666666666666,0.001336005344021376
provider_only_primary,namespace:TheBloke,2,0.6666666666666666,0.001336005344021376
provider_only_primary,Fireworks AI,1,0.5,0.001002004008016032
provider_only_primary,namespace:CountingMstar,1,0.5,0.001002004008016032
provider_only_primary,namespace:MBZUAI,1,0.5,0.001002004008016032
provider_only_primary,namespace:OrdalieTech,1,0.5,0.001002004008016032
provider_only_primary,namespace:bielik-chatbot-devteam,1,0.5,0.001002004008016032
provider_only_primary,namespace:canopylabs,1,0.5,0.001002004008016032
provider_only_primary,namespace:castorini,1,0.5,0.001002004008016032
provider_only_primary,namespace:csebuetnlp,1,0.5,0.001002004008016032
provider_only_primary,namespace:dangvantuan,1,0.5,0.001002004008016032
provider_only_primary,namespace:google-bert,1,0.5,0.001002004008016032
provider_only_primary,namespace:koshkosh,1,0.5,0.001002004008016032
provider_only_primary,namespace:mixedbread-ai,1,0.5,0.001002004008016032
provider_only_primary,namespace:speakleash,1,0.5,0.001002004008016032
provider_only_primary,BigScience,2,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:OpenAssistant,2,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:intfloat,2,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:togethercomputer,2,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:TinyLlama,1,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:answerdotai,1,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:distil-whisper,1,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:lmsys,1,0.3333333333333333,0.000668002672010688
provider_only_primary,namespace:shahzaib41202,1,0.3333333333333333,0.000668002672010688
provider_only_primary,Black Forest Labs,1,0.2,0.0004008016032064128
provider_only_primary,Moonshot AI,1,0.2,0.0004008016032064128
provider_only_primary,namespace:CohereLabs,1,0.2,0.0004008016032064128
provider_only_primary,namespace:openbmb,1,0.2,0.0004008016032064128
provider_only_primary,namespace:towardsai-tutors,1,0.2,0.0004008016032064128
inference_service_primary,Google,197,189.61666666666667,0.4740416666666667
inference_service_primary,Groq,93,88.16666666666667,0.22041666666666668
inference_service_primary,Hugging Face,55,54.0,0.135
inference_service_primary,OpenAI,54,49.583333333333336,0.12395833333333334
inference_service_primary,OpenRouter,11,8.7,0.02175
inference_service_primary,DeepSeek,4,3.2,0.008
inference_service_primary,Cohere,5,2.283333333333333,0.005708333333333333
inference_service_primary,Together AI,3,2.0,0.005
inference_service_primary,Anthropic,4,1.45,0.0036249999999999998
inference_service_primary,Fireworks AI,1,1.0,0.0025
model_provider_primary,Google,33,26.666666666666668,0.13468013468013468
model_provider_primary,Mistral AI,29,26.5,0.13383838383838384
model_provider_primary,namespace:sentence-transformers,25,19.666666666666668,0.09932659932659933
model_provider_primary,Meta,24,19.416666666666668,0.09806397306397308
model_provider_primary,OpenAI,22,18.416666666666668,0.09301346801346802
model_provider_primary,Alibaba,16,12.666666666666666,0.06397306397306397
model_provider_primary,namespace:facebook,8,5.666666666666666,0.028619528619528618
model_provider_primary,Microsoft,6,5.0,0.025252525252525252
model_provider_primary,namespace:valhalla,6,4.333333333333333,0.021885521885521883
model_provider_primary,namespace:openai-community,5,4.333333333333333,0.021885521885521883
model_provider_primary,namespace:distilbert,6,4.0,0.020202020202020204
model_provider_primary,namespace:google-t5,5,3.6666666666666665,0.018518518518518517
model_provider_primary,namespace:HuggingFaceTB,4,3.0,0.015151515151515152
model_provider_primary,DeepSeek,3,3.0,0.015151515151515152
model_provider_primary,BAAI,3,2.0,0.010101010101010102
model_provider_primary,namespace:deepseek,2,2.0,0.010101010101010102
model_provider_primary,namespace:jaiganesan,2,2.0,0.010101010101010102
model_provider_primary,namespace:models,2,2.0,0.010101010101010102
model_provider_primary,namespace:mrm8488,2,2.0,0.010101010101010102
model_provider_primary,EleutherAI,4,1.6666666666666665,0.008417508417508417
model_provider_primary,namespace:sshleifer,4,1.6666666666666665,0.008417508417508417
model_provider_primary,namespace:cross-encoder,2,1.5,0.007575757575757576
model_provider_primary,namespace:Salesforce,3,1.1666666666666665,0.0058922558922558915
model_provider_primary,namespace:AdamCodd,2,1.0,0.005050505050505051
model_provider_primary,TII,1,1.0,0.005050505050505051
model_provider_primary,namespace:3morg,1,1.0,0.005050505050505051
model_provider_primary,namespace:Abdelrahman04,1,1.0,0.005050505050505051
model_provider_primary,namespace:LiquidAI,1,1.0,0.005050505050505051
model_provider_primary,namespace:LoveJesus,1,1.0,0.005050505050505051
model_provider_primary,namespace:akhooli,1,1.0,0.005050505050505051
model_provider_primary,namespace:answerdotai,1,1.0,0.005050505050505051
model_provider_primary,namespace:canopylabs,1,1.0,0.005050505050505051
model_provider_primary,namespace:danrdoran,1,1.0,0.005050505050505051
model_provider_primary,namespace:ke955,1,1.0,0.005050505050505051
model_provider_primary,namespace:koshkosh,1,1.0,0.005050505050505051
model_provider_primary,namespace:lmqg,1,1.0,0.005050505050505051
model_provider_primary,namespace:runwayml,1,1.0,0.005050505050505051
model_provider_primary,namespace:towardsai-tutors,1,1.0,0.005050505050505051
model_provider_primary,namespace:vivicake666,1,1.0,0.005050505050505051
model_provider_primary,namespace:TheBloke,2,0.8333333333333333,0.004208754208754209
model_provider_primary,namespace:CountingMstar,1,0.5,0.0025252525252525255
model_provider_primary,namespace:MBZUAI,1,0.5,0.0025252525252525255
model_provider_primary,namespace:OrdalieTech,1,0.5,0.0025252525252525255
model_provider_primary,namespace:bielik-chatbot-devteam,1,0.5,0.0025252525252525255
model_provider_primary,namespace:castorini,1,0.5,0.0025252525252525255
model_provider_primary,namespace:csebuetnlp,1,0.5,0.0025252525252525255
model_provider_primary,namespace:dangvantuan,1,0.5,0.0025252525252525255
model_provider_primary,namespace:distil-whisper,1,0.5,0.0025252525252525255
model_provider_primary,namespace:google-bert,1,0.5,0.0025252525252525255
model_provider_primary,namespace:mixedbread-ai,1,0.5,0.0025252525252525255
model_provider_primary,namespace:speakleash,1,0.5,0.0025252525252525255
model_provider_primary,BigScience,2,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:OpenAssistant,2,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:intfloat,2,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:togethercomputer,2,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:TinyLlama,1,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:lmsys,1,0.3333333333333333,0.0016835016835016834
model_provider_primary,namespace:shahzaib41202,1,0.3333333333333333,0.0016835016835016834
model_provider_primary,Black Forest Labs,1,0.25,0.0012626262626262627
model_provider_primary,Moonshot AI,1,0.25,0.0012626262626262627
model_provider_primary,namespace:CohereLabs,1,0.25,0.0012626262626262627
model_provider_primary,namespace:openbmb,1,0.25,0.0012626262626262627
combined_broad,Google,230,196.40238095238095,0.3784246261124874
combined_broad,Groq,95,78.5,0.151252408477842
combined_broad,User-managed runtime,131,63.035714285714285,0.1214560968896229
combined_broad,OpenAI,77,54.416666666666664,0.10484906872190108
combined_broad,Hugging Face,56,26.583333333333332,0.05122029543994862
combined_broad,Mistral AI,31,14.083333333333334,0.027135517019910085
combined_broad,namespace:sentence-transformers,25,10.75,0.020712909441233142
combined_broad,Meta,24,10.583333333333334,0.020391779062299293
combined_broad,Alibaba,16,7.0,0.01348747591522158
combined_broad,OpenRouter,12,6.783333333333333,0.013070006422607578
combined_broad,DeepSeek,7,4.533333333333333,0.008734746307000642
combined_broad,namespace:facebook,8,3.1666666666666665,0.0061014771997430954
combined_broad,Microsoft,6,2.6666666666666665,0.005138086062941554
combined_broad,namespace:valhalla,6,2.4166666666666665,0.004656390494540783
combined_broad,namespace:distilbert,6,2.25,0.004335260115606936
combined_broad,namespace:openai-community,5,2.25,0.004335260115606936
combined_broad,namespace:HuggingFaceTB,4,2.1666666666666665,0.004174694926140012
combined_broad,namespace:google-t5,5,2.0,0.0038535645472061657
combined_broad,Together AI,3,1.6666666666666665,0.0032113037893384713
combined_broad,Cohere,5,1.3666666666666667,0.0026332691072575467
combined_broad,namespace:models,3,1.3333333333333333,0.002569043031470777
combined_broad,BAAI,3,1.25,0.0024084778420038534
combined_broad,namespace:sshleifer,4,1.1666666666666665,0.00224791265253693
combined_broad,EleutherAI,4,1.0357142857142856,0.001995595926231764
combined_broad,namespace:jaiganesan,2,1.0,0.0019267822736030828
combined_broad,namespace:mrm8488,2,1.0,0.0019267822736030828
combined_broad,namespace:3morg,1,1.0,0.0019267822736030828
combined_broad,Anthropic,4,0.95,0.0018304431599229286
combined_broad,namespace:Salesforce,3,0.8333333333333333,0.0016056518946692357
combined_broad,TII,2,0.8333333333333333,0.0016056518946692357
combined_broad,namespace:runwayml,2,0.8333333333333333,0.0016056518946692357
combined_broad,namespace:cross-encoder,2,0.75,0.001445086705202312
combined_broad,namespace:AdamCodd,2,0.6666666666666666,0.0012845215157353885
combined_broad,namespace:deepseek,2,0.6666666666666666,0.0012845215157353885
combined_broad,namespace:TheBloke,2,0.5833333333333333,0.001123956326268465
combined_broad,Fireworks AI,1,0.5,0.0009633911368015414
combined_broad,namespace:Abdelrahman04,1,0.5,0.0009633911368015414
combined_broad,namespace:LiquidAI,1,0.5,0.0009633911368015414
combined_broad,namespace:LoveJesus,1,0.5,0.0009633911368015414
combined_broad,namespace:akhooli,1,0.5,0.0009633911368015414
combined_broad,namespace:bielik-chatbot-devteam,1,0.5,0.0009633911368015414
combined_broad,namespace:canopylabs,1,0.5,0.0009633911368015414
combined_broad,namespace:danrdoran,1,0.5,0.0009633911368015414
combined_broad,namespace:ke955,1,0.5,0.0009633911368015414
combined_broad,namespace:koshkosh,1,0.5,0.0009633911368015414
combined_broad,namespace:lmqg,1,0.5,0.0009633911368015414
combined_broad,namespace:speakleash,1,0.5,0.0009633911368015414
combined_broad,namespace:vivicake666,1,0.5,0.0009633911368015414
combined_broad,namespace:CountingMstar,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:MBZUAI,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:OrdalieTech,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:castorini,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:csebuetnlp,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:dangvantuan,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:distil-whisper,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:google-bert,1,0.3333333333333333,0.0006422607578676942
combined_broad,namespace:mixedbread-ai,1,0.3333333333333333,0.0006422607578676942
combined_broad,BigScience,2,0.2857142857142857,0.0005505092210294523
combined_broad,namespace:OpenAssistant,2,0.2857142857142857,0.0005505092210294523
combined_broad,namespace:intfloat,2,0.2857142857142857,0.0005505092210294523
combined_broad,namespace:togethercomputer,2,0.2857142857142857,0.0005505092210294523
combined_broad,namespace:TinyLlama,1,0.25,0.0004816955684007707
combined_broad,namespace:answerdotai,1,0.25,0.0004816955684007707
combined_broad,namespace:lmsys,1,0.25,0.0004816955684007707
combined_broad,namespace:shahzaib41202,1,0.25,0.0004816955684007707
combined_broad,Black Forest Labs,1,0.16666666666666666,0.0003211303789338471
combined_broad,Moonshot AI,1,0.16666666666666666,0.0003211303789338471
combined_broad,namespace:CohereLabs,1,0.16666666666666666,0.0003211303789338471
combined_broad,namespace:openbmb,1,0.16666666666666666,0.0003211303789338471
combined_broad,namespace:towardsai-tutors,1,0.16666666666666666,0.0003211303789338471
combined_clone_adjusted,Google,229,179.90238095238095,0.3724686976239771
combined_clone_adjusted,Groq,93,75.16666666666667,0.15562456866804694
combined_clone_adjusted,User-managed runtime,128,61.86904761904762,0.12809326629202406
combined_clone_adjusted,OpenAI,76,51.25,0.10610766045548654
combined_clone_adjusted,Hugging Face,55,22.583333333333332,0.04675638371290545
combined_clone_adjusted,namespace:sentence-transformers,25,10.75,0.022256728778467908
combined_clone_adjusted,Meta,24,10.25,0.021221532091097308
combined_clone_adjusted,Mistral AI,29,9.75,0.020186335403726708
combined_clone_adjusted,Alibaba,16,7.0,0.014492753623188406
combined_clone_adjusted,OpenRouter,11,5.783333333333333,0.011973775017253278
combined_clone_adjusted,DeepSeek,7,4.533333333333333,0.009385783298826778
combined_clone_adjusted,namespace:facebook,8,3.1666666666666665,0.006556245686680469
combined_clone_adjusted,Microsoft,6,2.6666666666666665,0.005521048999309869
combined_clone_adjusted,namespace:valhalla,6,2.4166666666666665,0.005003450655624568
combined_clone_adjusted,namespace:distilbert,6,2.25,0.004658385093167702
combined_clone_adjusted,namespace:openai-community,5,2.25,0.004658385093167702
combined_clone_adjusted,namespace:google-t5,5,2.0,0.004140786749482402
combined_clone_adjusted,namespace:HuggingFaceTB,4,1.8333333333333333,0.0037957211870255345
combined_clone_adjusted,Cohere,5,1.3666666666666667,0.002829537612146308
combined_clone_adjusted,Together AI,3,1.3333333333333335,0.002760524499654935
combined_clone_adjusted,BAAI,3,1.25,0.002587991718426501
combined_clone_adjusted,namespace:sshleifer,4,1.1666666666666665,0.0024154589371980675
combined_clone_adjusted,EleutherAI,4,1.0357142857142856,0.002144335995267672
combined_clone_adjusted,namespace:jaiganesan,2,1.0,0.002070393374741201
combined_clone_adjusted,namespace:mrm8488,2,1.0,0.002070393374741201
combined_clone_adjusted,namespace:3morg,1,1.0,0.002070393374741201
combined_clone_adjusted,Anthropic,4,0.95,0.0019668737060041406
combined_clone_adjusted,namespace:Salesforce,3,0.8333333333333333,0.0017253278122843338
combined_clone_adjusted,namespace:models,2,0.8333333333333333,0.0017253278122843338
combined_clone_adjusted,namespace:cross-encoder,2,0.75,0.0015527950310559005
combined_clone_adjusted,namespace:deepseek,2,0.6666666666666666,0.0013802622498274672
combined_clone_adjusted,namespace:TheBloke,2,0.5833333333333333,0.0012077294685990338
combined_clone_adjusted,Fireworks AI,1,0.5,0.0010351966873706005
combined_clone_adjusted,TII,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:Abdelrahman04,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:LiquidAI,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:LoveJesus,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:akhooli,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:bielik-chatbot-devteam,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:canopylabs,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:danrdoran,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:ke955,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:koshkosh,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:lmqg,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:runwayml,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:speakleash,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:vivicake666,1,0.5,0.0010351966873706005
combined_clone_adjusted,namespace:AdamCodd,2,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:CountingMstar,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:MBZUAI,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:OrdalieTech,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:castorini,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:csebuetnlp,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:dangvantuan,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:distil-whisper,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:google-bert,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,namespace:mixedbread-ai,1,0.3333333333333333,0.0006901311249137336
combined_clone_adjusted,BigScience,2,0.2857142857142857,0.0005915409642117716
combined_clone_adjusted,namespace:OpenAssistant,2,0.2857142857142857,0.0005915409642117716
combined_clone_adjusted,namespace:intfloat,2,0.2857142857142857,0.0005915409642117716
combined_clone_adjusted,namespace:togethercomputer,2,0.2857142857142857,0.0005915409642117716
combined_clone_adjusted,namespace:TinyLlama,1,0.25,0.0005175983436853002
combined_clone_adjusted,namespace:answerdotai,1,0.25,0.0005175983436853002
combined_clone_adjusted,namespace:lmsys,1,0.25,0.0005175983436853002
combined_clone_adjusted,namespace:shahzaib41202,1,0.25,0.0005175983436853002
combined_clone_adjusted,Black Forest Labs,1,0.16666666666666666,0.0003450655624568668
combined_clone_adjusted,Moonshot AI,1,0.16666666666666666,0.0003450655624568668
combined_clone_adjusted,namespace:CohereLabs,1,0.16666666666666666,0.0003450655624568668
combined_clone_adjusted,namespace:openbmb,1,0.16666666666666666,0.0003450655624568668
combined_clone_adjusted,namespace:towardsai-tutors,1,0.16666666666666666,0.0003450655624568668
combined_near_duplicate_090,Google,229,143.4595238095238,0.3328527234559717
combined_near_duplicate_090,Groq,93,72.16666666666667,0.16744006187161642
combined_near_duplicate_090,User-managed runtime,128,61.42619047619048,0.14252016351784333
combined_near_duplicate_090,OpenAI,76,45.55,0.1056844547563805
combined_near_duplicate_090,Hugging Face,55,17.883333333333333,0.04149265274555298
combined_near_duplicate_090,namespace:sentence-transformers,25,10.75,0.02494199535962877
combined_near_duplicate_090,Meta,24,10.25,0.023781902552204175
combined_near_duplicate_090,Mistral AI,29,9.25,0.021461716937354988
combined_near_duplicate_090,Alibaba,16,7.0,0.016241299303944315
combined_near_duplicate_090,OpenRouter,11,5.783333333333333,0.013418406805877803
combined_near_duplicate_090,DeepSeek,7,4.533333333333333,0.010518174787316318
combined_near_duplicate_090,namespace:facebook,8,3.1666666666666665,0.007347254447022428
combined_near_duplicate_090,Microsoft,6,2.6666666666666665,0.006187161639597834
combined_near_duplicate_090,namespace:valhalla,6,2.4166666666666665,0.005607115235885537
combined_near_duplicate_090,namespace:distilbert,6,2.25,0.005220417633410673
combined_near_duplicate_090,namespace:openai-community,5,2.25,0.005220417633410673
combined_near_duplicate_090,namespace:google-t5,5,2.0,0.004640371229698376
combined_near_duplicate_090,namespace:HuggingFaceTB,4,1.8333333333333333,0.004253673627223511
combined_near_duplicate_090,Cohere,5,1.3666666666666667,0.00317092034029389
